10864433,三毛作品集,,三毛,,作家出版社,2007-2,48.8,9.2
3244227,夏日烟愁,现代散文,三毛,,海峡文艺出版社,1987年,原定价1.40元,8.6
3538059,听三毛讲远行,,萧意著,,陕西师范大学出版社,2009年2月,29.80元,6.4
4733970,三毛物语,三毛之死:故事后的故事 三毛的100张面孔 三毛浪荡写真 三毛语录 三毛的,萧意著,,陕西师范大学出版社,2009年2月,29.80元,8.3
20387103,三毛散文集,,萧意著,,陕西师范大学出版社,2009年2月,29.80元,8.2
3932742,三毛经典作品集,,三毛,,北岳文艺出版社,2000-11,28.8,9.1
26067543,一个人的撒哈拉,三毛传,墨倾城,,新世界出版社,2014-7-1,CNY 32.80,7.0
1053772,哭泣的百合,,张景然,,中国盲文出版社,2001-01,20.00,5.8
25845862,世间曾有三毛,,冷湖,,天津人民出版社,2014-1-1,CNY 29.80,7.2
10443156,三毛的回声,一个美国DJ在中国,李柯,赵文伟,中央广播电视大学出版社,2011-12,39.80元,7.4
6028321,稻草人的微笑,三毛典藏2,三毛,,皇冠文化出版有限公司,2010-12-27,新台币320元,7.8
3014692,台湾名家名作丛书,,三毛等,,远方出版社,1999,12.00元,8.1
1098952,三毛解放记/精装,64开平装（上下）定价12.00元,张乐平,,译林出版社,2002-10-1,23,8.3
1103404,名家名著经典文集,,王晖 主编,,吉林摄影出版社,2000-1,258.00元（十册）,8.7
7060984,万水千山,三毛,刘兰芳,,湖南师大,2011-9,32.80元,6.3
2348568,二三毛——三毛传记,,辛唐米娜,,珠海出版社,2007年11月,25,7.6
5348239,把快樂當傳染病,三毛典藏7,三毛,,皇冠文化,2010-10-18,NT$250,7.6
1142614,三毛传奇,,练琳,,时代文艺出版社,2003-12,26.80元,7.4
25723522,烟花易冷：三毛与荷西,,悠悠路,,华中科技大学出版社,2013-8-1,32.00元,7.5
20411579,你是锦瑟 我为流年,三毛的万水千山,白落梅,,中国华侨出版社,2013-1-1,28.00元,7.1
1012525,三毛传奇,,张瑞德、等,,广东人民出版社,2000-01,22.00,7.3
25856492,来不及好好告别  三毛传,,陳玉慧,,大塊文化,2016-6-1,NT320,6.4
5375614,三毛散文全编,,陳玉慧,,大塊文化,2016-6-1,NT320,9.2
5413108,三毛傳,,陸士清、楊幼力、孫永超,,晨星,1993-7-31,NTD 180,7.3
1911577,永远珍藏的三毛（全十册）,,张乐平,,少年儿童出版社,2006-7,150.00元,7.8
3123887,三毛的世界,,司马中原，张拓芜，晓风，应未迟 等,,中国友谊出版公司,1989,2.80元,8.0
1451560,三毛传(永远流浪)/侠情小说名家传记,,,,江苏文艺出版社,2001-3-1,16.00元,7.3
20380315,流光不负 岁月静好,三毛的美丽与哀愁,石天琦,,北京联合出版公司,2012-12,29.80元,6.3
1059987,三毛，你为什么失约,,梅子,,中国广播电视出版社,2004-06,26.80,6.4
4079506,三毛的生死簿,,梅子,,中国广播电视出版社,2004-06,26.80,7.0
20444211,撒哈拉的眼泪,三毛传,张乐平,,二十一世纪出版社,2005-05-01,6.8,6.0
1432577,佛灭,二十世纪台港及海外华人文学经典,三毛、林海音,,花山文艺出版社,1994年1月第1版,9.00元,7.4
10784996,每想你一次，天空飘落一粒沙,三毛文传,夏风颜,,中国华侨出版社,2012-6,30.00元,6.4
3178404,三毛散文遗作·名篇·精言欣赏,,三毛,,中国国际广播出版社,1991年2月,4.5,7.7
1752355,三毛画传,,白帝,,现代出版社,2006-3,28.00元,7.4
2227411,三毛——才女遗情佚事（光盘+书） (平装),,欧几木,,大连音像出版社,2006年6月1日,25.0,7.1
6827886,快樂鬧學去,,欧几木,,大连音像出版社,2006年6月1日,25.0,7.9
25783592,撒哈拉不哭泣：三毛传,,艾文茵,,中国纺织出版社,2014-1-1,30.00,6.1
1642776,张乐平连环漫画全集,,张乐平 画、姜维朴 主编,,中国连环画出版社,1994-3,40.00元,9.3
3107506,三毛之死,,张乐平 画、姜维朴 主编,,中国连环画出版社,1994-3,40.00元,6.8
3773311,三毛三毛,,张乐平 画、姜维朴 主编,,中国连环画出版社,1994-3,40.00元,7.4
1068437,玛法达的世界：娃娃看天下(B卷3册),,（阿根廷）季诺,三毛,作家出版社,1999-02,29.70,9.3
1057963,三毛外传,,张乐平,,少年儿童出版社,1997-5-1,8.40,8.0
25863697,三毛,你若不离不弃，我必生死相依,熙弦,,光明日报出版社,2014-4,29.80元,7.3
26304334,永远的红尘追梦人,三毛传,翟晓斐,,华中科技大学出版社,2015-3,29.80元,7.3
1076513,张乐平漫画选,,张乐平,,少年儿童出版社,1993-9-1,48.00,8.4
20396724,你若盛开 清风自来-世间曾有三毛,世间曾有三毛,冷湖,,华文出版社,2013-1-1,29.80元,6.7
1029824,三毛日记,,张乐平,,少年儿童出版社,1997-9,13.00元,7.6
10472905,三毛作品集,,三毛,,北岳文艺出版社,2003-12,28.00元,7.7
1431394,背影·匆匆,,朱自清,,中国对外翻译出版公司,2005-10,16.8,7.6
1009258,背影,,朱自清,,人民文学出版社,1998-05,4.50,8.0
1823476,背影,,巴尼 等,周怡芳,华东师范大学出版社,2006-6,18.00,8.1
1351536,娃娃看天下（全集1）,,QUINO,三毛,皇冠文化,1980年2月初版,NT$ 250,9.2
3290172,送你一匹马,,(台湾)三毛,,陕西旅游出版社,1993年1月,3.9,8.7
20444211,撒哈拉的眼泪,三毛传,(台湾)三毛,,陕西旅游出版社,1993年1月,3.9,6.0
5261221,三毛之谜,,马中欣,,东方出版中心,2010-8,22.00元,4.9
3041306,闹学记,三毛全集,马中欣,,东方出版中心,2010-8,22.00元,8.7
2268814,倾城,,三毛,,中国友谊出版公司,1990年10月,2.45,8.8
3041280,随想,三毛全集,三毛,,中国友谊出版公司,1990年10月,2.45,8.8
3041300,我的宝贝,三毛全集,三毛,,中国友谊出版公司,1990年10月,2.45,8.5
3182452,闹学记,,三毛,,中国友谊出版公司,1989年9月,2.90,8.9
1450271,凄美的欢颜,“精致女人”丛书,崔建飞、赵珺,,作家出版社,2005-09,23.0,8.3
3290157,温柔的夜,,(台湾)三毛,,陕西旅游出版社,1993年1月,3.9,9.0
3738140,三毛流浪记全集,,(台湾)三毛,,陕西旅游出版社,1993年1月,3.9,9.3
1723594,三毛作品选（台湾文学丛书）,台湾文学丛书,三毛,,海峡文艺出版社,1986,2.15元,9.3
1792257,三毛流浪记,,张乐平,,译林出版社,2006-4,22.00元,9.2
25783592,撒哈拉不哭泣：三毛传,,艾文茵,,中国纺织出版社,2014-1-1,30.00,6.1
2378247,我的宝贝,,三毛,,陕西旅游出版社,1993年1月1版,4.00,8.3
3041308,阅读大地（有声书）,,三毛,,陕西旅游出版社,1993年1月1版,4.00,8.4
1856940,三毛经典作品集续编——走出寂寞,,三毛,,陕西旅游出版社,1993年1月1版,4.00,8.8
1948777,雨季不再来,,三毛,,陕西旅游出版社,1993,5.60,8.6
1090043,倾城之恋,,张爱玲,,花城出版社,1997-3-1,11.00,8.5
3041272,谈心,三毛全集,张爱玲,,花城出版社,1997-3-1,11.00,8.7
3144474,万水千山走遍,中南美记行,三毛,,陕西旅游出版社,1993年1月1版,3.60,9.0
1438218,在西撒哈拉踏寻三毛的足迹,,章云,,中国友谊出版公司,1996年12月第一版,14元,7.2
1015275,三毛从军记,,张乐平,,少年儿童出版社,2005-5,12.00元,9.1
3538059,听三毛讲远行,,萧意著,,陕西师范大学出版社,2009年2月,29.80元,6.4
3657207,撒哈拉的故事,,三毛,,中国友谊出版公司,1984年9月,2.45,9.1
3143034,三毛 昨日、今日、明日,,三毛,,陕西旅游出版社,1993,3.5,8.1
3290179,梦里花落知多少,,(台湾)三毛,,陕西旅游出版社,1993年1月,3.95,8.6
1053772,哭泣的百合,,张景然,,中国盲文出版社,2001-01,20.00,5.8
3053817,背影,,三毛,,中国友谊出版公司,1987.11.1,1.50,9.1
1103404,名家名著经典文集,,王晖 主编,,吉林摄影出版社,2000-1,258.00元（十册）,8.7
2137715,谈心,,三毛,,湖南文艺出版社,1986年12月,1.90,7.8
20387103,三毛散文集,,三毛,,湖南文艺出版社,1986年12月,1.90,8.2
1059987,三毛，你为什么失约,,梅子,,中国广播电视出版社,2004-06,26.80,6.4
5976294,撒哈拉歲月,三毛典藏1,三毛,皇冠文化出版有限公司,2011-1,新台幣320元,港幣107元,9.4
3598751,梦里花落知多少,,三毛,皇冠文化出版有限公司,2011-1,新台幣320元,港幣107元,9.1
6748307,夢中的橄欖樹,,三毛,,皇冠文化出版有限公司,2010-12-1,280台币,9.6
3244227,夏日烟愁,现代散文,三毛,,海峡文艺出版社,1987年,原定价1.40元,8.6
3932742,三毛经典作品集,,三毛,,北岳文艺出版社,2000-11,28.8,9.1
1642776,张乐平连环漫画全集,,张乐平 画、姜维朴 主编,,中国连环画出版社,1994-3,40.00元,9.3
3040310,兰屿之歌,三毛全集,丁松青,,三毛,皇冠出版社,1982年6月,8.6
3186273,兰屿之歌,,丁松青,三毛,宁夏人民出版社,1994,RMB4.60,7.4
3243026,稻草人手记,,三毛,,陕西旅游出版社,1993,3.70,9.2
2301377,玛法达,季诺经典漫画,季诺[阿根廷],,当代世界出版社,2008年1月,120.00元,9.2
3041304,流星雨（有声书）,,季诺[阿根廷],,当代世界出版社,2008年1月,120.00元,7.8
1005121,三毛流浪记,世界连环画漫画经典大系,张乐平,,译林出版社,2000-11,20.00,9.1
1142614,三毛传奇,,练琳,,时代文艺出版社,2003-12,26.80元,7.4
10443156,三毛的回声,一个美国DJ在中国,李柯,赵文伟,中央广播电视大学出版社,2011-12,39.80元,7.4
1016300,梦里花落知多少,,郭敬明,,春风文艺出版社,2003-11,20.00元,7.2
1451560,三毛传(永远流浪)/侠情小说名家传记,,,,江苏文艺出版社,2001-3-1,16.00元,7.3
3332786,三毛流浪记选集,,张乐平,,少年儿童出版社,1963年12月,0.64,9.3
3240019,随想,,三毛,,中国友谊出版公司,1989-6,1.6,8.1
3144458,谈心,,三毛,,中国友谊出版公司,1989-6,1.6,8.4
2368750,背影,,三毛,,陕西旅游出版社,1993,5.50,8.7
4079506,三毛的生死簿,,三毛,,陕西旅游出版社,1993,5.50,7.0
3657210,哭泣的骆驼,,三毛,,中国友谊出版公司,1985年12月,2.45,9.1
5350892,奔走在日光大道,,三毛,,中国友谊出版公司,1985年12月,2.45,9.2
2378017,清泉故事,,三毛,,中国友谊出版公司,1985年12月,2.45,7.6
25723522,烟花易冷：三毛与荷西,,悠悠路,,华中科技大学出版社,2013-8-1,32.00元,7.5
2269110,三毛从军记,,张乐平,,四川少年儿童出版社,1983年,0.54元,9.1
3436404,親愛的三毛,,张乐平,,四川少年儿童出版社,1983年,0.54元,8.3
