20279547,花之绘 38种花的色铅笔图绘,38种花的色铅笔图绘,飞乐鸟,,中国水利水电出版社,2012-12,32.80元,8.1
1002701,中国绘画三千年,,杨新、班宗华、高居翰、巫鸿、聂崇正、朗绍君,,外文出版社,1997-01-01,350.0,8.9
10430691,画家生涯,传统中国画家的生活与工作,[美] 高居翰,杨贤宗、马琳、邓伟权,生活·读书·新知三联书店,2012-1,30.00元,8.5
2143015,我们什么也没看见,一部别样的绘画描绘集,Daniel Arasse,何蒨,北京大学出版社,2007年6月,28.00元,8.4
26393558,水彩画的实质,怎样画得更高级,[英]哈泽尔·索安（Hazel Soan）,孙薇,北京联合出版公司·后浪出版公司,2015-6,60.00元,8.6
4154939,宋画全集,,宋画全集编辑委员会,,浙江大学出版社,2008年12月,30000,9.5
26786792,走走画画,卡卡桑的旅绘生活,卡斯丁多,,重庆出版社,重庆出版集团,2016-5-1,CNY 56.00,9.1
3410762,气势撼人,十七世纪中国绘画中的自然与风格,[美] 高居翰,李佩桦、傅立萃、刘铁虎、任庆华、王嘉骥,生活·读书·新知三联书店,2009-8,50.00元,9.0
26608163,萌翻你的手帐简笔画10000例,,飞乐鸟工作室,,中国水利水电出版社,2015-9,39.80,8.7
1370944,席勒（中文版- BASIC ),,飞乐鸟工作室,,中国水利水电出版社,2015-9,39.80,9.3
25768157,让水彩画达到极致的调色技法,日本绘画大师铃木辉实的水彩画配色心得,铃木辉实,宁凡,人民邮电出版社,2013-10-1,CNY 58.00,8.6
20389355,水彩色铅笔之旅,,[日]门马朝久,雪吾、姜昕欣,人民邮电出版社,2012-11-1,29.80元,8.5
24878414,少有人看见的美,,苏缨,,中信出版社,2013-7,39.00元,8.3
3038328,浮世绘,,潘力,,河北教育出版社,2012-3,158.00元,8.6
10453633,蓝围巾男人,为卢西安·弗洛伊德做模特,马丁·盖福特,,赵琦,2012-1,78.00元,8.7
3410760,江岸送别,明代初期与中期绘画（1368－1580）,[美] 高居翰,夏春梅 [等],生活·读书·新知三联书店,2009-8,52.00元,9.0
6982049,构图的艺术,,[美] 伊恩•罗伯茨,孙惠卿  刘宏波,上海人民美术出版社,2012-1,58.00元,8.6
26732543,水彩技法完全指南：贵图子的37堂实用水彩课,,贵图子,,人民邮电出版社,2016-2,59.80元,8.7
20513213,色彩与光线,,詹姆斯·格尔尼（James Gurney）,解晓宁,人民邮电出版社,2013-1,88.00元,9.0
26417490,写给大家的西方美术史,,蒋勋,,湖南美术出版社,2015-7-1,CNY 68.00,8.2
10565975,超级漫画家圣经,,赵佳,,龙门书局,2012-5,49.00元,8.9
26313206,看名画的眼睛.1,,（日）高阶秀尔,范钟鸣,中国财政经济出版社,2015-2,39.50,8.8
26582987,隐世之国,鹿菏水彩私享绘,鹿菏,,湖北美术出版社,2015-8,59.8元,8.7
25872094,如何看一幅画,,[法]弗朗索瓦丝・芭布－高尔（Françoise Barbe-Gall）,郑柯,中信出版社,2014-4,48,7.5
26611270,从风格到画意,反思中国美术史,石守谦,,生活·读书·新知三联书店,2015-8,78.00,8.7
1807843,芥子园画谱,,本社,,上海书店--上海世纪出版集团,2005-01-01,25.00元,9.0
19977313,花乱开,,老树画画,,江苏文艺出版社,2012-11,38.00元,8.8
26348108,快乐禅绕画,三步画出心灵的宁静,[美]托妮娅·珍妮（Tonia Jenny）、艾米·琼斯（Amy Jones） 编著,缪滢、高颖,北京联合出版公司·后浪出版公司,2015-4,49.80元,7.5
3410761,山外山,晚明绘画（1570－1644）,[美] 高居翰,王嘉骥,生活·读书·新知三联书店,2009-8,58.00元,9.0
4881500,油画的光与色,,凯文·D.麦克弗森,赵春园、张晓怡,上海人民美术出版社,2010-6,48.00元,8.9
26276406,如何看一幅画Ⅱ,,[法]弗朗索瓦芭布·高尔,郑柯,中信出版社,2015-1,58.00元,7.4
1205346,向大师学绘画,,道格・贾米森,,中国青年出版社,2000-2,38.00元,9.1
1016673,水彩画里的色与光,,(美)克里斯托弗・欣克,董冀平,中国青年出版社,1999-2,60.00元,9.1
1174739,艺用人体解剖,,萨拉・西蒙伯尔特、约翰·戴维斯 摄影,徐焰、张燕文,浙江摄影出版社,2004-4-1,118.00元,8.9
25794692,中国画颜色的研究,,于非闇,,北京联合出版公司,2013-11,25.00元,8.9
5353300,林泉高致,,(宋)郭熙,,中华书局,2010-9,26.00元,9.0
1340897,Picture This,How Pictures Work,Molly Bang,,Chronicle Books,2004-10-26,CAD 14.99,8.7
1606879,莫兰迪,,莫兰迪,,江西美术出版社,2000-10-01,38.00元,9.2
2010622,超级漫画素描技法-基础篇,,(日)林晃,,中国青年,2007-1,29.00,8.5
2149449,绘画史事,,(法)阿拉斯,孙凯,北京大学出版社,2007-7,32.00元,8.8
24869637,世界建筑风景速写,城市速写者的创作与技巧,加布里埃尔•坎帕纳里奥,Coral Yee,中国青年出版社,2013-8,89,8.9
20382267,牛津艺用人体解剖学,,艾略特·古德芬格,李慧娟,上海人民美术出版社,2013-1,88.00元,9.3
1157182,艺术家手册,,盖尔,符荆捷,凤凰传媒集团 江苏美术出版社,2004-1,128.00元,9.1
3168709,风格与世变,中国绘画十论,石守谦,,北京大学出版社,2008-7,40.00元,8.6
26366765,素描基本原理,,[英]巴林顿·巴伯（Barrington Barber）,梁嘉欣,北京联合出版公司·后浪出版公司,2015-5,49.80元,8.3
6900438,畫畫的52個創意練習,用各種媒材創意作畫,卡拉．桑罕,汪芃,貓頭鷹,2011-7-21,88.56元,8.1
3581389,吴冠中画作诞生记,,吴冠中,,人民美术出版社,2008-12,98.00元,9.4
10738888,色铅笔的花草生活,,轶菡,,人民邮电出版社,2012-5-1,32.00元,8.5
26930483,英国插画师,,崔莹,,生活·读书·新知三联书店,2016-11,59.00,8.0
10739129,野村重存的水彩课,初学水彩速成,野村重存,褚天姿,人民邮电出版社,2012-5,58.00元,8.2
5457136,Botanical Portraits with Colored Pencils,,Ann Swan,,BARRONS EDUC SERIES,2010-4-1,USD 18.99,9.3
3529322,水彩画工作室 I,,[英] 格丽妮斯·巴恩斯·梅利什,张景微,中国文联出版社,2009-1,80.00元,8.4
26758311,胆小别看画 3,死神与少女,[日] 中野京子,李肖霄,中信出版社,2016-5,38.00元,8.3
