4898668,缺月梧桐,江湖惊梦,缺月,,高寶,2009,250台币,8.4
11599245,量子江湖·燕子坞（上）,,陈怅,,北京联合出版公司,2012-10,28.00元,7.8
26365250,死人经,,冰临神下,,起点,2015-2-14,30元,8.4
1789842,侠客行,,金庸,,三联书店,1994年5月,38.00,7.4
1089510,流星·蝴蝶·剑,,古龙,,珠海出版社,2005-8,25.00元,7.8
1062514,白发魔女传,,梁羽生,,广东旅游出版社,1996-03,29.6,7.8
3863359,千劫眉·两处沉吟,,藤萍,,万卷出版公司,2009-07,23.0,8.9
1607113,新版古龙全集(一箱53册),,藤萍,,万卷出版公司,2009-07,23.0,9.1
1478487,曼珠沙华,,沧月,,新世界出版社,2006-1-1,19.00元,7.8
6795834,浪跡天涯,（卷一）樂游原,趙晨光、清朗,,明日工作室,2011-6,NT280,9.3
5367303,城邦暴力团（下）,,张大春,,上海人民出版社,2011-1,36.00元,8.4
1312997,香初上舞·终上,,藤萍,,广西人民出版社,2005-04,18.0,9.0
26133411,忘川 下,月之卷,沧月,,北京联合出版公司,2014-11,32.80元,7.7
1014533,书剑恩仇录(上下),,金庸,,三联书店,1999-04,0,7.2
1502083,杯雪·停云·宗室双歧,,小椴,,新世界出版社,2005-08,19.00元,8.8
1088088,大人物,,古龙,,珠海出版社,2005-8,26.00元,7.6
1052380,飞狐外传(上下),,金庸,,三联书店,1999-04,23.00元,7.6
3863355,千劫眉·不予天愿,,藤萍,,万卷出版公司,2009-07,23.00元,8.9
1313156,帝都赋,,沧月,,新世界出版社,2005-5,18.00元,8.0
1681426,杯雪·传杯·秣陵冬,,小椴,,新世界出版社,2005-08,19.0,8.8
1844850,洛阳女儿行·卷一,,小椴,,新世界出版社,2006-07,20.0,8.3
1313159,大漠荒颜,墨香外传,沧月,,新世界出版社,2005-5,18.00元,8.1
20280758,灵飞经·第一卷·洪武天下,,凤歌,,长江出版社,2012-11,10.00元,7.5
6802392,七夜雪,鼎剑阁·沧月十周年珍藏版,沧月,,时代文艺出版社,2011-9-22,29.80元,8.6
3816834,兰因·璧月（上、下）,,沧月,,时代文艺出版社,2011-9-22,29.80元,7.8
3275069,国术馆,,徐皓峰,,青岛出版社,2008-11,26.00元,7.4
6023867,冥海花,,吴昉,,新星出版社,2011-4,26.00元,7.8
1961970,沧海Ⅰ,,凤歌,,重庆出版社,2006-12,20.0,8.4
3567802,浩然劍（谢苏）,,清朗、赵晨光,,明日工作室,Jul 20, 2008,NT$ 280,8.8
3891614,中间人,,江南,,二十一世纪出版社,2009-7,20.00元,8.2
26844866,一寸相思,,紫微流年,,青岛出版社,2016-8,52.00元,7.7
2298345,狐魅天下·第一部·狐妖公子,,藤萍,,作家出版社,2007-09,25.00元,8.5
25868476,裂国·大王图,,小椴,,中华书局,2014-4,32.00元,8.8
1683659,边荒传说,异侠系列（全套共15卷）,黄易,,华文出版社,2006-1,22.00元,8.0
1010520,血薇,,沧月,,新世界出版社,2004-01,19.00元,8.1
1004128,古金兵器谱,,王怜花,,中国档案出版社,2002-10,22.00元,8.3
4835660,神雕侠侣（套装共4册）,金庸作品集,金庸,,广州出版社,2013-4-1,96.00元,9.3
3057119,江湖奇侠传（全四册）,,平江不肖生,,新星出版社,2008-05,80.00元,7.7
4040223,坏事多磨,,那只狐狸,,北方妇女儿童出版社,2009-10-1,56.00元,7.9
26283340,暗杀1905,,巫童,,海峡书局,2015-1-1,32.00,8.3
1055976,碧血剑（上下）,,金庸,,生活·读书·新知三联书店,1999-04,23.00元,7.2
1082573,英雄志·第二部（全三册）,（全三册）,孙晓,,京华出版社,2003-10,56.4,9.1
1440611,迷侠记,,施定柔,,朝华出版社,2005-9,20.0,7.9
10607793,刀与星辰,徐皓峰影评集,徐皓峰,,世界图书出版公司,2012-6,29.80元,8.5
