"26957420","临高启明","","'[美] 彼得·海斯勒'","'李雪顺'","'上海译文出版社'","'2011-1'","'33.00元'","9.5"
"3144991","神仙也有江湖（下）","","柳暗花溟","","花山文艺出版社","2008-07","29.8","7.7"
"26255858","天定风华3·笑忘归（上下）","","天下归元","","江苏文艺出版社","2013-7","59.80元","7.6"
"3249938","窃明4","","灰熊猫","","长征出版社","2008-10","29.8","8.1"
"6829730","毒医皇后（上下）","","纳兰静语","","江苏文艺出版社","2011-9","49.80元","6.7"
"1492927","天下·壹·风起","","宁致远","","朝华出版社","2006-01","25.0","8.4"
"3435182","寻找前世系列","","流光飘飘 等","","北方文艺出版社","2009-01","24.80","7.3"
"25917401","千金记","","石头与水","","北方文艺出版社","2014-7","59.80元","7.2"
"1275028","故国神游","","罗周","","二十一世纪出版社","2000-02","20.00","8.4"
"20283332","凤倾天下","","小妖重生","","青岛出版社","2012-11","79.80元","6.2"
"3168458","少年丞相世外客（中+下）","","小佚","","河南文艺出版社","2008-09","35.00元","7.6"
"20433669","美人殤1·自在飛花","","夢三生","","樸實文化","2009-7","NTD 199","7.0"
"26257216","''All You Zombies - -''","Five Classic Stories","Robert A. Heinlein","","Blackstone Audio","2014-1-1","USD 19.95","8.4"
"2193679","戏龙记之非常穿越","","喜善大人","","中国电影出版社","2007-07","23.0","7.3"
"3042879","纳妾记2·白骨迷案","","沐轶","","百花洲文艺出版社","2008-03","24.80元","7.4"
"4844954","史上第一混乱·第七季·终极拯救大结局","","张小花","","黄山书社","2010-4","26.80元","8.5"
"26615105","女捕头","","爱默丁","","北京联合出版公司","2015-11","75.00元","7.3"
"26920860","脱轨","","Priest","","北京联合出版公司","2017-1","38.00元","7.6"
"6526952","朽女厨娘","","六月微蓝（禾早）","","远方出版社","2011-6-1","52.00元","7.2"
"3239786","大明江湖宅女记","","沈沧眉","","朝华出版社","2008-10","28.00元","7.3"
"3217422","桃源仙踪","","12乖乖","","汕头大学出版社","2008-08","24.0","7.9"
"25955091","凤逆苍穹4","江山为聘","路非","","江苏文艺出版社","2014-9","55.00元","7.4"
"6560855","超时空美男会","","西小洛","","湖南少儿","2011-5","24.80元","7.4"
"3739306","史上第一混乱·第四季·诱惑仙草","","张小花","","黄山书社","2009-4","26.80元","8.7"
"6425455","有座香粉宅","","耳雅","","北方妇女儿童出版社","2011-6","29.80元","7.3"
"20283083","庶女攻略3","","吱吱","","浙江文艺出版社","2012-11","29.80元","7.5"
"26011722","北落师门","","侧侧轻寒","","金城出版社","2014-10","32.00元","6.5"
"4731812","血族新娘（下）","","Vivibear","","万卷出版公司","2010-03","26.80元","7.1"
"2572572","寻樱丝","","淡樱","","现代出版社","2007-11","23.8","6.1"
"25742357","再嫁侯门·完结篇（上下）","","意千重","","北方文艺出版社","2013-11-1","59.80","6.6"
"26333780","独步天下","","李歆","","中国华侨出版社","2015-3","75.00元","7.8"
"10608302","落月迷香","","四叶铃兰","","江苏文艺出版社","2012-6","59.80元","6.9"
"1491422","法老王","尼罗河穿越时空奇幻三部曲之三","水心沙","","朝华出版社","2006-01","22.0","7.5"
"2371522","何处金屋可藏娇（共三册）","","那那","","华文出版社","2007-04","66.0","7.1"
"3264994","极品家丁6","","禹岩","","广西人民出版社","2008-11","29.80元","7.8"
"2176759","玥影横斜","","夜幽梦","","花山文艺出版社","2007-08","28.0","6.8"
"6432098","天配良缘之陌香（上下）","","浅绿","","江苏文艺出版社","2011-6","49.80元","6.8"
"25806039","良婿2·良辰美景（上下）","完結篇","意千重","","重庆出版社","2013-12","55.00元","6.9"
"5395592","黑暗的祝福","","燃聿","","华文出版社","2010-12","29.00元","7.2"
"3421785","篡清2·朝鲜风云","","天使奥斯卡","","太白文艺出版社","2009-2","30.80","8.0"
"4713195","神偷俏王妃","","安以陌","","江苏文艺出版社","2010-4","26.80元","6.4"
"4179798","兰陵皇妃（下）","","杨千紫","","春风文艺","2009-9","16.80元","6.7"
"4217883","谁说穿越好","","籽月","","文化艺术出版社","2010-1","28.00元","6.7"
"1820596","狩猎美男","","Stein","","海洋出版社","2006-01","20.0","7.2"
"3358831","明朝五好家庭1","彩虹堂","扫雪煮酒","","沈阳出版社","2009-01","25.00元","7.6"
"25855726","凤御凰·情倾百年（上下）","","半壶月","","江苏文艺出版社","2014-4","55.00元","7.4"
"10483190","金风玉露（上下）","","柳暗花溟","","江苏文艺出版社","2012-2","49.80元","6.8"
"2044745","凤霸天下Ⅱ·白虎篇","","流玥","","中国友谊出版公司","2007-03","20.0","7.8"
"3361744","风槿如画（全2册）","","张瑞","","大众文艺","2009-1","49.80元","7.0"
"3673479","平凡的清穿日子2","彩虹堂","柳依华","","北方妇儿","2009-3","28.80元","7.8"
"3786931","骑士幻想夜Ⅰ","","Vivibear","","华文出版社","2009-06","25.00元","7.3"
"3420392","武林高手在校园","","'Vivibear'","''","'华文出版社'","'2009-06'","'25.00元'","7.5"
"6777935","东倾记·神启","","琉玄","","长江文艺出版社","2011-9-1","24.80元","7.2"
"10876473","六朝雲龍吟 1","","弄玉、龍璇","","河圖文化","2012-3-15","180 元","9.0"
"5353493","灼灼琉璃夏1","","羽千落","","北方妇女儿童出版社","2010-10","25.00元","7.6"
"20273770","傲风2·北境放逐之地Ⅱ（上下册）","","风行烈","","江苏文艺出版社","2012-11","49.80元","8.1"
"3292193","帝梦清萝（上下）","","圆不破","","花城出版社","2008-11","49.80元","7.5"
"1450467","尼罗河之鹰","尼罗河穿越时空奇幻三部曲之一","水心沙","","朝华出版社","2005-09","20.0","7.5"
"2340301","步步惊心（续集）","","玉朵朵","","花山文艺出版社","2008-01","29.80元","6.3"
"2216420","鸾，我的前半生，我的后半生2","","天夕","","作家出版社","2007-07","24.8","7.3"
"2315592","穿回古代做王妃","","林带鱼","","北方文艺出版社","2007-10","23.8","6.7"
"3069940","新宋Ⅱ·权柄3","","阿越","","花山文艺出版社","2008-05","29.8","8.6"
"5403355","彼岸有妖","","小鱼大心","","吉林省吉出书刊发行有限责任公司","2010-12","45.00元","7.1"
"4713881","篡清4·两江风雷","","天使奥斯卡","","太白文艺出版社","2010-4","30.80元","7.7"
"3099350","神仙也有江湖（中）","","柳暗花溟","","花山文艺出版社","2008-06","23.50元","7.7"
"5296866","篡清5·鼎之轻重","","天使奥斯卡","","太白文艺出版社","2010-10","29.80","7.5"
"3064299","到开封府混个差事Ⅱ","","欧阳墨心","","珠海出版社","2008-05","24.80元","8.9"
"25832465","凤逆苍穹2","万寿无疆","路非","","江苏文艺出版社","2014-2","55.00元","7.9"
"4023238","篡清3·不一样的甲午（上下）","","天使奥斯卡","","太白文艺出版社","2009-9","49.80","8.2"
"3048772","那海兰珠（全2册）","","拉费比尤","","现代出版社","2008-01","48.0","7.3"
"19957704","锦衣夜行1·杀青州","","月关","","湖北少年儿童出版社","2012-9","25.00元","7.7"
"25877119","名門醫女（五）","","'月关'","''","'湖北少年儿童出版社'","'2012-9'","'25.00元'","8.0"
"3290333","誓不为妃·下","","云外天都","","万卷出版公司","2008-11","25.00元","7.0"
"11593600","失落的唐骑","","阿菩","","长江文艺出版社","2012-9","29.80元","8.1"
"7068069","姐姐有毒","","柳暗花溟","","江苏文艺出版社","2011-12","49.80元","7.4"
"6964234","凤临天下（全三册）","","一世风流","","光明日报出版社","2011-11","80.00元","7.2"
"5918449","小荷才露尖尖角","官居一品之一","三戒大师","","中国青年出版社","2011-3","25.00元","8.4"
"3236601","恶魔法则1","","跳舞","","长征出版社","2008-10","29.80元","7.9"
"3412135","武林萌主·终结篇","","玄色","","朝华出版社","2009-1","25.00元","7.1"
"26596804","涙雨とセレナーデ","","河内 遙","","講談社","2015-10-13","JPY 627","8.4"
"2240959","寻龙记Ⅱ","","Vivibear","","新世界出版社","2007-08","20.0","7.0"
"3115770","极品家丁4","","禹岩","","广西人民出版社","2008-07","29.80元","7.8"
"25695976","莊周之燕 卷上","逃婚","蘭陵笑笑生","","夢田小筑","2013-6-10","NTD 250","7.8"
"3998149","下堂妻的悠哉日子","彩虹堂花蔻子15","小晚","","北方妇女出版社","2009","29.80元","6.7"
"3120720","窃明2","","灰熊猫","","南海出版社","2008-06","29.8","8.2"
"6965582","东倾记·啸世","","琉玄","","长江文艺出版社","2011-12-1","24.80元","7.9"
"3909864","埃及艳后","","卫风","","百花文艺出版社","2009-7","29.80元","6.7"
"2262422","四时花开之还魂女儿国2","","宫藤深秀","","２１世纪出版社","2007-09","23.8","6.6"
"4718480","血族新娘（上）","","Vivibear","","万卷出版公司","2010-03","26.80元","7.2"
"3219277","爱情宝石系列","","葡萄","","珠海出版社","2008-09","23.8","7.7"
"1836577","梦落繁花·蓝雪","","凤凰雪","","新世界出版社","2006-06","22.0","6.6"
"2354136","有缘千年来相会（上下）","","雪影霜魂","","珠海出版社","2007-10","40.0","6.9"
"2145934","厨娘皇后","","安安","","朝华出版社","2007-07","29.8","6.3"
"3554440","一朝为后（上下）","","'安安'","''","'朝华出版社'","'2007-07'","'29.8'","6.4"
"4148162","不良少夫（上下）","","圆不破","","江苏文艺出版社","2009-11","49.80元","7.0"
"6977666","天才魔妃","","安知晓","","江苏文艺出版社","2011-11","49.80元","7.1"
"3115875","如梦令（上下）","","惊鸿","","朝华出版社","2008-06","45.00元","6.7"
"5261749","宁非","","狂言千笑","","江苏文艺出版社","2010-10","28.00元","6.9"
"3214462","窃明3","","灰熊猫","","长征出版社","2008-09","29.8","8.2"
"26756791","木兰无长兄2","","祈祷君","","百花洲文艺出版社","2016-3","29.80元","8.0"
"2381531","凤还巢","","张晚知","","河南文艺出版社","2008-01","29.8","6.9"
"24888455","良婿1·盛世浮华（上下）","","意千重","","重庆出版社","2013-8","58.00元","7.1"
"11526829","顾盼生欢 卷一","沖喜小媳婦","六月微藍（禾早）","","藍海文化","2012-2-1","NT$230","7.0"
"5395594","血族的花嫁","","燃聿","","华文出版社","2010-12","29.00元","7.6"
"3276917","被遗忘的守候","","卡洛洛","","安徽少年儿童出版社","2008-11","24.0","7.5"
"19998878","丹鳳朝陽·卷一","","'卡洛洛'","''","'安徽少年儿童出版社'","'2008-11'","'24.0'","7.5"
"24324956","王牌太子妃（上下）","","吴笑笑","","江苏文艺出版社","2013-5","55.00元","6.6"
"7564368","天生凉薄（上下）","","星无言","","吉林大学出版社","2011-11","49.80元","6.5"
"1377681","追月","","于晴","","萬盛","20040203","NT$ 200","8.1"
"3238250","黯乡魂","","张廉","","吉林美术出版社","2008-07","22.0","7.5"
"3183693","新宋Ⅱ·权柄5","","阿越","","花山文艺出版社","2008-08","28.0","8.6"
"6308090","望江南","","蝴蝶seba","","雅书堂","2010-3-25","NT$220","7.6"
"3998999","龙龙龙（全三册）","","'蝴蝶seba'","''","'雅书堂'","'2010-3-25'","'NT$220'","7.3"
"4827135","皇家魔女学院","","古杏花","","北岳文艺出版社","2010-1","25.00元","8.2"
"3242684","花褪残红青杏小","","南适","","朝华出版社","2008-10","45.00元","6.8"
"1837267","天下·叁·攻伐","","宁致远","","朝华出版社","2006-07","22.0","8.5"
"25725667","活在晚明②","如今却忆江南乐","贼道三痴","","北京时代华文书局","2013-8","29.80","8.0"
"1939705","青莲纪事1","","葡萄","","中国友谊出版公司","2006-11","20.0","7.5"
"26818362","清川日常2","","多木木多","","花山文艺出版社","2016-5","59.80元","8.3"
"5397280","羅馬浴場 Ⅱ","","ヤマザキマリ","游若琪","台灣角川","2011-2-10","NT$120","8.5"
"4711898","捉鬼王妃（全三册）","","雪悠","","珠海","2010-12","26.00元","7.5"
"2368194","我不是王妃","","青岚","","珠海出版社","2008-01","29.8","5.9"
"11602618","越姬（上）","","林家成","","天津人民出版社","2012-7","29.80元","7.4"
"20509472","一品江山·第一部1·清平樂","","三戒大師","","夢田小筑","2013-2-25","NTD 230","7.7"
"2122690","两世花","","锦瑟","","华文出版社","2007-05","20.0","7.3"
"10561643","媚色逃妃（上下）","","雪芽","","江苏文艺出版社","2012-4","59.80元","6.0"
"21357612","夜宫天","","语笑嫣然","","漓江出版社","2013-3","22.00元","6.9"
"3666772","寻秦记","","黄易","","云南人民出版社","2009-4-1","26.00元","8.2"
"20433670","美人殤2·江山美人","","夢三生","","樸實文化","2009-7","NTD 199","7.1"
"2229053","冰恋沉醉千年前","","古灵","","北方文艺出版社","2007-08","23.8","6.9"
"5261751","寻找来世之夫（全二册）","","'古灵'","''","'北方文艺出版社'","'2007-08'","'23.8'","7.5"
"3082329","极品家丁3","","禹岩","","广西人民出版社","2008-05","29.80元","7.8"
"3182983","云醉月微眠（全2册）","","明月别枝","","朝华出版社","2008-09","49.80元","6.5"
"2241268","契丹王妃","","薇络","","中国城市出版社","2007-08","22.0","6.9"
"20499123","紫微宫词","古风言情重量级作家杜若，再度倾情打造华美宫廷恋歌","杜若","","时代文艺出版社","2013-2","34.80元","7.3"
"3679840","恶魔法则（全12册）","","跳舞","","太白文艺出版社","2009-9","28.00","8.1"
"23780086","新唐遺玉1","吾家有女初長成","三月果","","三采文化出版事業有限公司","2013-4-4","NTD 250","7.1"
"2024783","晓梦迷蝶·秋霁Ⅰ锦瑟篇","","晚晴风景","","花山文艺出版社","2007-02","20.0","7.3"
"25888099","天才儿子腹黑娘亲(1)-武林萌主","","北藤","","吉林文史出版社","2014-5","25.00元","7.1"
"19254954","亲，女配是无辜的！","","小姑子","","湖南人民出版社","2012-9","21.80元","6.5"
"10451754","错嫁良缘之后宫疑云（上下）","","浅绿","","江苏文艺出版社","2013-1-16","49.80元","6.5"
"20366855","时空之恋1","G调的玛瑙红","(德)科斯汀·吉尔","朱刘华","接力出版社","2012-11","28.00元","7.5"
"3629869","极品太子妃Ⅱ","","圆不破","","百花洲文艺出版社","2009-4","22.50","7.0"
"10519518","超时空恋爱社","","西小洛","","湖南少儿","2012-1","24.80元","7.2"
"3074812","寻爱上弦月（上下）","","花清晨","","国际文化出版公司","2008-05","49.8","6.7"
"2075204","芙蓉成长记之有女芙蓉初长成","","最爱零食","","花山文艺出版社","2007-05","20.00元","6.4"
"2344003","带着皇子回现代","","竹心醉","","朝华出版社","2008-01","22.0","5.9"
"10829906","妃谋天下","","轻尘如风","","光明日报出版社","2012-7","20.00元","6.5"
"25714562","俊男坊·风云变幻（全两册）","","末果","","百花洲文艺出版社","2013-9-1","49.80元","7.6"
"4209676","九鼎记","","我吃西红柿","","太白文艺出版社","2010-01","26.0","7.3"
"3228759","尋找前世之旅·二部曲2·祭司選中的少女","","Vivibear","","耕林出版文化事業","2008-08","NT$ 200","7.7"
"26148484","纨绔世子妃5·姻缘劫（上下）","","西子情","","青岛出版社","2014-10","59.80元","7.2"
"4729353","史上第一混乱·第六季·时光总动员","","张小花","","黄山书社","2010-3","26.80元","8.6"
"26608057","神医凤轻尘：断是今生难舍离","","阿彩","","新世界出版社","2015-9","69.80元","7.2"
"10569808","大清犀利人妻","","邹邹","","新世界出版社","2012-4","32.80元","7.8"
"3257712","拐个皇帝回现代改造1","","月斜影清","","汕头大学出版社","2008-09","25.0","6.5"
"25907579","美人谋律·洛阳卷（上下）","","柳暗花溟","","北方文艺出版社","2014-7","59.80元","7.2"
"26583776","萬事如易 第一卷 福禍易算，人心難卜（１）","","三月果","","知翎文化","2015-6-17","NTD 260","7.8"
"5366329","蛮姑儿","","'三月果'","''","'知翎文化'","'2015-6-17'","'NTD 260'","7.6"
"3217415","四物国物语1","","夜问卿","","汕头大学出版社","2008-08","24.0","7.5"
"26680107","制霸好莱坞","","御井烹香","","现代出版社","2016-1","59.80元","8.4"
"2315687","我用灵魂来爱你","","紫流光","","北方文艺出版社","2007-10","23.8","6.1"
"4881021","四物国物语·终结篇","","夜问卿","","北岳文艺","2010-1","25.00","7.4"
"25934791","天之骄女","","梦溪石","","湖南人民出版社","2014-8","24.00元","7.0"
"2277287","谁是李世民（下）","","深水城","","重庆出版社","2007-10","22.0","6.9"
"2246239","恨相逢之战国之恋","","Vivibear","","河南文艺出版社","2007-09","25.0","6.9"
"4245704","我相信，幸福是会重生的","时光机系列，神龙创意出版隆重推荐","爱爬树的鱼","","万卷出版公司","2010-1","25.00元","7.3"
"2363681","清风吹散往事如烟灭1·桃李不言","","楚湘云","","朝华出版社","2008-01","29.8","6.9"
"3657245","穿越成式神的日子","","'楚湘云'","''","'朝华出版社'","'2008-01'","'29.8'","6.8"
"2000153","凤霸天下Ⅰ·玄武篇","","流玥","","中国友谊出版公司","2007-02","20.0","7.7"
"6749702","羅馬浴場 Ⅲ","","ヤマザキマリ","游若琪","台灣角川","2011-10-21","NT$120","8.6"
"6843907","云狂（上下）","","风行烈","","江苏文艺出版社","2011-9","49.80元","6.7"
"2589967","长孙皇后","","上善若水","","朝华出版社","2008-02","28.8","6.9"
"26280977","皇家二掌柜","","大风刮过","","江苏文艺出版社","2014-12","59.80元","6.4"
"3112440","隋唐逝·下","","青诤","","重庆出版社","2008-06","24.80元","7.1"
"22499412","傲风3·诸神大陆1（上下册）","","风行烈","","江苏文艺出版社","2013-4","49.80元","8.1"
"6712824","王妃从天降","","穆丹枫","","江苏文艺出版社","2011-7","26.00元","7.0"
"25725668","活在晚明③","行乐直须少年时","贼道三痴","","北京时代华文书局","2013-8","29.80","8.0"
"2142117","暴动王妃（共3册）","","李蜜","","珠海出版社","2007-06","20.0","6.8"
"1914936","瑶华","第一至二卷","晚晴风景","","中国友谊出版公司","2006-10","18.0","6.7"
"26860947","木兰无长兄6","","祈祷君","","百花洲文艺出版社","2016-9","29.80元","7.7"
"26846663","木兰无长兄5","","祈祷君","","百花洲文艺出版社","2016-8","29.80元","7.8"
"3133921","唐朝好男人1","","多一半","","新星出版社","2008-05","25.00元","7.2"
"3337152","雪狐裳月1","","瞳木","","万卷出版公司","2008-12","25.00元","8.5"
"1860523","鳳于九天之一魂落西雷","凤于九天 之一 魂落西雷","'瞳木'","''","'万卷出版公司'","'2008-12'","'25.00元'","8.3"
"25700793","掌事(卷六)","","清楓聆心","","說頻文化","2013-7-17","NTD 250","8.1"
"3232128","小迷糊闯江湖","","柳上青","","北方文艺出版社","2008-10","25.0","7.1"
"3024001","隋唐逝·上","","青诤","","重庆出版社","2008-05","24.80元","7.1"
"2971921","归路1","","夜安","","河北大学出版社","2008-02","23.8","7.4"
"26312544","盛世良缘完美终结","","凤轻","","江苏文艺出版社","2015-2","79.80元","7.2"
"3657109","慕容冲之凤凰于飞（上下）","","'凤轻'","''","'江苏文艺出版社'","'2015-2'","'79.80元'","6.4"
"3006047","花痴皇后","","安安","","朝华出版社","2008-03","29.8","5.7"
"3321452","食霸天下","","林芝","","２１世纪出版社","2009-01","26.80元","6.9"
"2229045","恋上你的绝世容颜","","小朵","","北方文艺出版社","2007-08","23.8","5.0"
"2302076","凤凰无双（共三册）","","寒烈","","江苏美术出版社","2007-10","22.0","7.1"
"4148163","奉旨休夫","","云霓","","江苏文艺出版社","2009-11","29.80元","6.4"
"2215992","育神","","'云霓'","''","'江苏文艺出版社'","'2009-11'","'29.80元'","6.8"
"3608327","窃明6","","灰熊猫","","长征出版社","2009-3","29.80元","8.1"
"25846281","凤逆苍穹3","魂兮归来","路非","","江苏文艺出版社","2014-4","55.00","7.7"
"2700926","小萱皇后（全2册）","","小裳","","陕西师范大学出版社","2008-01","42.0","6.0"
"3194076","极品家丁5","","禹岩","","广西人民出版社","2008-08","29.80元","7.7"
"6760181","花非花 01-02","","夏小卷","","新世纪出版社","2011-9","24.00元","8.7"
"2187818","花落燕云梦（全2册）","","紫百合","","朝华出版社","2007-09","42.8","6.9"
"3143821","來自遠方 1","日本白泉社正式授權臺灣中文版","冰川京子","","鄭禎姝","東立出版社有限公司","NT$75元","8.8"
"10786466","不负如来不负卿·蓝莲花","","小春","","浙江文艺出版社","2012-6","29.80元","7.3"
"5944607","北宋生活顾问","","阿昧","","现代","2011-1","29.80元","7.1"
"2226950","冲破时光爱上你","","悠悠","","北方文艺出版社","2007-09","23.80元","7.3"
"2703292","兰陵缭乱","","Vivibear","","朝华出版社","2008-2","22.00元","7.5"
"5360721","注意，美狐出没","","橘花散里","","北方妇女儿童出版社","2010-11","22.00元","6.8"
"3855338","江湖遍地卖装备（终结篇）","","禾早","","河南文艺","2009-7","25.00元","7.9"
"3101421","皇后出墙记（全二册）","","桩桩","","朝华出版社","2008-6","39.80元","7.0"
"25700789","掌事(卷二)","","清楓聆心","","說頻文化","2013-6-11","NTD 250","8.3"
"5395593","天使的私心","","燃聿","","华文出版社","2010-12","29.00元","7.5"
"3228752","尋找前世之旅3·天方夜譚","","Vivibear","","耕林出版文化事業","2008-03","NT$ 200","7.7"
"20275241","浴火王妃","","醉疯魔","","青岛出版社","2012-11","75.00元","6.6"
"2028069","若相惜Ⅱ","","懒水","","花山文艺出版社","2007-03","20.0","6.6"
"6946709","小凰不是仙","","蜀客","","二十一世纪出版社","2011-11","22.00元","7.2"
"2005546","清梦无痕2","","妖叶","","花山文艺出版社","2007-01","20.0","7.1"
"3070575","恋上绝色王爷","","'妖叶'","''","'花山文艺出版社'","'2007-01'","'20.0'","6.5"
"20381266","重生之贼行天下44","","''妖叶''","''''","''花山文艺出版社''","''2007-01''","''20.0''","7.4"
"2260909","清水漪澜（上下）","","苍痕鸢陌","","朝华出版社","2007-09","49.8","6.5"
"3222343","青花瓷","","小逍主","","新世界出版社","2008-08","24.8","6.5"
"10536441","大清后宫的幸福生活","大清后宫的幸福生活","千本樱景严","","文汇出版社","2012-4","29.80元","7.0"
"3332532","秦简","","思诺源","","朝华出版社","2008-12","26.00元","6.1"
"4175341","喵喵喵","","橘花散里","","悦读记-江苏文艺出版社","2009-12","45.00元","6.9"
"3914688","再生勇士6 建国之途","","施鸥","","湖北少儿","2009-8","24.80元","7.8"
"3276800","拐个皇帝回现代改造2","","月斜影清","","汕头大学出版社","2008-10","25.0","6.4"
"1941755","恍然如梦","","月下箫声","","花山文艺出版社","2006-10","20.0","6.6"
"2077199","非主流穿越之馴伏篇","","'月下箫声'","''","'花山文艺出版社'","'2006-10'","'20.0'","6.8"
"3336922","拐个皇帝回现代改造3","","月斜影清","","汕头大学出版社","2008-11","25.00元","6.6"
"3739305","繁花落尽执何手","","'月斜影清'","''","'汕头大学出版社'","'2008-11'","'25.00元'","6.5"
"2314502","花落燕云梦（终结篇）","","紫百合","","朝华出版社","2007-10","23.8","7.0"
"3859952","恨不相逢陌上花（上下）","","孤钵","","花城出版社","2009-6","48.00元","6.4"
"3161384","权倾天下·下卷","","璃雪","","百花洲文艺出版社","2008-6","20.0","6.2"
"25934784","一生一世笑繁华（上下）","","君子江山","","江苏文艺出版社","2014-8","59.80元","7.0"
"1870782","穿越時空救簡愛","","賈斯柏．弗德","","丁世佳","遠流","2006","7.5"
"5920398","还君以明月","文学女博士穿越爱恋的史诗","雪凤歌","","春风文艺出版社","2010-12","25.00元","6.7"
"5918836","七寻记1","七寻记I","'雪凤歌'","''","'春风文艺出版社'","'2010-12'","'25.00元'","8.1"
"3224427","鹦鹉","","惊鸿","","北岳文艺出版社","2008-09","25.80元","7.2"
"1701796","清宫·情空（1、2）","","晓月听风","","珠海出版社","2005-08","40","6.7"
"2133200","青莲记事","","'晓月听风'","''","'珠海出版社'","'2005-08'","'40'","7.5"
"11445472","女法醫辣手摧夫記·上","","清歌一片","","藍襪子出版社","2011-12","NT$220元","7.2"
"3227129","香浮","","紫百合","","内蒙文化出版社","2008-09","29.80元","6.3"
"26388421","春闺梦里人（上）","","白鹭成双","","江苏凤凰文艺出版社","2015-5","25.00","7.3"
"3033758","隋唐风云Ⅰ·蜉蝣","","双陆","","花山文艺出版社","2008-04","25.00元","7.6"
"25720866","彼岸千缘","","清清楚楚","","青岛出版社","2013-9","55.00元","6.5"
"3293237","繁花落定","","寂月皎皎","","作家出版社","2008-11","29.80元","6.4"
"2298345","狐魅天下·第一部·狐妖公子","","藤萍","","作家出版社","2007-09","25.00元","8.5"
"20502533","芙殤之女惑","","明月璫","","藍襪子","2009-1","NTD 190","6.0"
"20370981","楚王妃-全二册","楚王妃","'明月璫'","''","'藍襪子'","'2009-1'","'NTD 190'","6.5"
"10546254","傲风1·光芒大陆Ⅱ（上下册）","","风行烈","","江苏文艺出版社","2012-4","49.80元","8.3"
"19998056","大唐明月 卷二 喜結良緣","喜結良緣","藍云舒","","希代多媒體","2012-9-12","USD 17.00","8.7"
"25955093","美人谋律·长安卷（上下）","","柳暗花溟","","北方文艺出版社","2014-9","59.80元","7.5"
"2151428","后妃乱","","浓郁","","文化艺术出版社","2007-07","22.0","6.2"
"4054970","太虚幻境","","'浓郁'","''","'文化艺术出版社'","'2007-07'","'22.0'","8.8"
"3193969","梦舞羽衣","","''浓郁''","''''","''文化艺术出版社''","''2007-07''","''22.0''","6.4"
"21268072","妃倾城（上下）","","舒歌","","青岛出版社","2013-1","55.00元","6.1"
"3725542","满朝凤华（上下）","","'舒歌'","''","'青岛出版社'","'2013-1'","'55.00元'","6.8"
"4031693","穿越时空之后宫育儿","","宫琯吟","","新世界出版社","2012-2","29.00元","5.7"
"10484087","回到未来","西西里和裕姆的奇异","埃里希•冯•丹尼肯","","金城出版社","2011-10-1","32.00元","8.7"
"19979113","秘密男友召唤术","","喵哆哆","","知识出版社","2012-1","26.80元","7.3"
"3427344","极品家丁8","","'喵哆哆'","''","'知识出版社'","'2012-1'","'26.80元'","7.9"
"3117373","蝴蝶的皇冠1","","轻寒","","世界知识出版社","2008-06","25.00元","8.1"
"3651170","若纪若离","","'轻寒'","''","'世界知识出版社'","'2008-06'","'25.00元'","7.0"
"3147621","阿娇皇后（上下）","","凌嘉","","陕西师范大学出版社","2008-07","48.00元","6.5"
"26265444","兰陵王妃","","'凌嘉'","''","'陕西师范大学出版社'","'2008-07'","'48.00元'","4.9"
"1479251","明：1扬帆，2大风（全2册）","","酒徒","","中国广播电视出版社","2006-01","39.8","7.7"
"3149538","天心","","彭柳蓉","","新世界出版社","2008-6-1","23.0","7.3"
"3987209","食霸天下·完结篇","","林芝","","二十一世纪出版社","2009-8","25.00元","7.2"
"2212323","清空万里2","","星野樱","","远方出版社","2007-08","22.00元","7.4"
"25919864","奥术神座1·女巫笔记","","爱潜水的乌贼","","安徽文艺出版社","2014-5","38.00元","7.7"
"3009652","白衣传（共2册）","","瞑色","","江苏美术出版社","2008-01","36.0","6.6"
"3422599","公主驾到","","'瞑色'","''","'江苏美术出版社'","'2008-01'","'36.0'","6.8"
"4850477","迷糊小皇后","因重复使用一个ISBN号，该页面暂时代表的书还有《神女赋》、《海皇的","梨魄","","台海出版社","2010-5","29.80元","7.6"
"3374615","极品家丁7","","'梨魄'","''","'台海出版社'","'2010-5'","'29.80元'","7.8"
"5414120","美人诛心（全2册）","","孤钵","","北方妇女儿童出版社","2011-1","49.80元","6.8"
"4753704","天朝女提刑","","雪凤歌","","江苏文艺出版社","2010-7","26.00元","6.4"
"3123946","猫游记","","禾早","","百花洲文艺出版社","2008-06-01","26.80元","7.3"
"3284399","三国咒","","武箭","","百花洲文艺出版社","2008-11","26.80元","7.8"
"25855722","喜盈门（上下）","","意千重","","北方文艺出版社","2014-4","59.80元","7.1"
"3065656","芙蓉成长记之芙蓉帐寒难度春宵","","最爱零食","","花山文艺出版社","2008-05","20.0","5.5"
"2272926","银币赐的婚礼","","米米拉","","北岳文艺出版社","2007-08","23.8","5.9"
"25961012","大清后宫生存指南","后宫各妃嫔/小主/宫女生活手册","林月","","民主与建设出版社","2014-8","29.80元","5.3"
"2277549","倾城梦","","我不是你的天使","","文化艺术出版社","2007-09","26.8","7.2"
"3005077","赵飞燕传奇（全2册）","","娇无那","","朝华出版社","2008-03","39.0","6.1"
"26582784","臣妾，舉案奇霉（上）","","'娇无那'","''","'朝华出版社'","'2008-03'","'39.0'","7.5"
"6730920","天配良缘之商君（上下）","","浅绿","","江苏文艺出版社","2011-7","49.80元","7.2"
