4932789,第一辩手1·王牌庭辩队,,双子星罗,,长江出版社,2010-7,14.80元,8.0
2977158,化物語 上,,西尾 維新,,講談社,2006,1680円,8.9
26696676,掟上今日子的備忘錄,,西尾維新、VOFAN,緋華璃,青空文化,2016-1-29,NT$280,7.7
3063301,傷物語,,西尾 維新,,講談社,2008-5-8,JPY 1365,9.0
6535519,阪急電車,,有川浩,Asma,時報文化出版企業股份,2011-7-3,NT$250,8.5
1958982,索多玛的苹果,,水果君,,接力出版社,2006-12,16.00元,8.8
26674134,那年夏天，妳打來的電話,,三秋縋、Usi,邱鍾仁,台灣角川,2016-2-4,NT$260,8.4
1811833,全金属狂潮,,贺东招二(原作)、馆尾洌(漫画),章泽仪,台湾角川,2002-6,52.00元,8.9
3238578,銀魂 3年Z班銀八老師 1,,空知英秋、大崎知仁,徐旻钰,東立,2008年8月14日,190新台币,8.9
2440159,DDD 1,,奈須 きのこ,,講談社,2007,1365円,8.9
6719080,角鸮与夜之王,,[日] 红玉伊月 著、[日] 矶野宏夫 绘,黄真芳,湖南美术出版社,2011-8,21.00元,8.1
3242763,說謊的男孩與壞掉的女孩 1,幸福的背景是不幸,[日] 红玉伊月 著、[日] 矶野宏夫 绘,黄真芳,湖南美术出版社,2011-8,21.00元,7.6
26598800,十字路口,,[日] 新海诚 原作、[日] 桐山成人 著,枯山水,百花洲文艺出版社,2015-9-20,25.00元,7.2
24853056,愚者的片尾,“冰菓”系列2,[日] 米泽穗信,方宁,湖南美术出版社,2013-8,25.00元,8.3
25813874,古书堂事件手帖 04,栞子与两张面具,[日] 三上延 著、[日] 越岛羽空 绘,朱悦玮,湖南美术出版社,2014-2,30.00元,8.4
1098727,Fate/strange fake,,成田良悟、森井しづき,,珊瑚文库,2009,NT$110,8.3
5398524,SUGAR DARK 被埋葬的黑暗,,[日] 新井円侍 著、[日] mebae 绘,布莱恩,湖南美术出版社,2010-12,20.00元,7.5
2979817,GOSICK 1,,櫻庭一樹,洪嘉穗,台灣國際角川書店股份有限公司,2007,NT $ 200,7.6
25808629,绕远路的雏人偶,“冰菓”系列4,[日] 米泽穗信,方宁,湖南美术出版社,2014-2,30.00元,8.4
26425909,不哭不哭，痛痛飛走吧,,三秋縋、E9L,邱鍾仁,台灣角川,2015-8-6,NT$340,7.7
3989184,無頭騎士異聞錄 DuRaRaRa!! 02,,成田良悟,,台灣角川,2009年05月30日,NT$220,9.0
6120621,凉宫春日的惊愕（后）,,[日] 谷川流 著、[日] 伊东杂音 绘,吴松谚,湖南美术出版社,2011-5,20.00元,8.9
2043242,洛杉机BB连续杀人事件,,[日] 谷川流 著、[日] 伊东杂音 绘,吴松谚,湖南美术出版社,2011-5,20.00元,7.8
6042262,迈向神境的作家（上）,文学少女7,[日] 野村美月 文、竹冈美穗 图,哈娜,人民文学出版社,2011-4,20.00元,8.9
3219415,精靈守護者,,上橋菜穗子、二木真希子（绘）,曾玲玲,尖端出版,2008-02,NT$ 280,9.2
3242963,BACCANO！01,The Rolling Bootlegs,上橋菜穗子、二木真希子（绘）,曾玲玲,尖端出版,2008-02,NT$ 280,9.3
2980470,笨蛋，測驗，召喚獸,,井上堅二、葉賀唯,YAKUMO,尖端出版社,2007,190新台币,8.3
26907395,你的名字Another Side,Earthbound,加納新太,,台灣角川,2016-12-15,NT220,7.0
5290861,第一辩手2·夏日的和声,夏日的和声,双子星罗,,长江,2010-8,14.80元,8.4
