"1078790","黑色唱片","","竺子","","现代出版社","2004-01","28.00","6.9"
"26411185","清醒纪","","安妮宝贝","","北京十月文艺出版社","2015-5-1","39.00","7.5"
"1016300","梦里花落知多少","","郭敬明","","春风文艺出版社","2003-11","20.00元","7.2"
"1006004","樱桃之远","","张悦然","","春风文艺出版社","2004-01","23.00元","7.5"
"26411180","八月未央","","安妮宝贝","","北京十月文艺出版社","2015-5","39.00","6.3"
"26862227","告别薇安","2016全新修订作序","庆山（安妮宝贝）","","天津人民出版社","2016-8","39.00元","6.8"
"26679553","蔷薇岛屿","","庆山","","北京十月文艺出版社","2015-10","35.00元","7.2"
"1062326","爱尔兰咖啡","","蔡智恒","","知识出版社","2001-3","14.80元","6.9"
"1400705","情人","","[法] 玛格丽特·杜拉斯","王道乾","上海译文出版社","2005-7","20.00元","8.1"
"1046265","挪威的森林","","[日] 村上春树","林少华","上海译文出版社","2001-2","18.80元","8.0"
"4280334","有一天","","'[日] 村上春树'","'林少华'","'上海译文出版社'","'2001-2'","'18.80元'","8.9"
"1084336","小王子","","[法] 圣埃克苏佩里","马振聘","人民文学出版社","2003-8","22.00元","9.0"
"25942255","莲花","","庆山(安妮宝贝)","","万卷出版公司","2014-6-1","CNY 36.00","7.9"
"26412773","告别薇安","","安妮宝贝","","北京十月文艺出版社","2015-5","42.00","6.7"
"3566368","空谷幽兰","","[美] 比尔·波特 著、[美] 史蒂芬·R·约翰逊 摄","明洁","南海出版公司","2009-3","29.80","8.3"
"25960126","彼岸花","","庆山（安妮宝贝）","","万卷出版公司","2014-5-1","36.00","7.3"
"26411188","蔷薇岛屿","","安妮宝贝","","北京十月文艺出版社","2015-5","36.00","7.5"
"20515281","文艺风赏·第一日","","主编：笛安","","长江文艺出版社","2013-1-15","16.8","7.8"
"6885912","發現約旦","","劉遠","","中國圖書出版社","2010-1","HKD 180","7.6"
"2022979","喜宝","","亦舒","","新世界出版社","2007-2","22.00元","8.1"
"3812447","书名","","作者","","出版社","1907","定价","7.0"
"26411186","春宴","","安妮宝贝","","北京十月文艺出版社","2015-5","45.00","7.3"
"2970301","生活禅钥","","'安妮宝贝'","''","'北京十月文艺出版社'","'2015-5'","'45.00'","8.7"
"1465324","洛丽塔","","[美] 弗拉基米尔·纳博科夫","主万","上海译文出版社","2005-12","27.00元","7.7"
"1041128","天蓝色的彼岸","关于生命和死亡最深刻的寓言","（英）希尔","张雪松","新世界出版社","2003-12","19.80元","8.5"
"1018153","水仙已乘鲤鱼去","","张悦然","","作家出版社","2005-1","19.00元","7.8"
"1017143","不能承受的生命之轻","","[捷克] 米兰·昆德拉","许钧","上海译文出版社","2003-7","23.00元","8.4"
"1963310","大地之灯","","七堇年","","长江文艺出版社","2007-1","22.00元","8.2"
"24297906","不畏将来 不念过去","让假装很好、心中有痛的女人流泪及改变","十二","","江苏文艺出版社","2013-4-1","32.00元","6.7"
"1794620","芒果街上的小屋","","[美国] 桑德拉·希斯内罗丝","潘帕","译林出版社","2006-6","24.50元","7.8"
"24753751","向前一步","女性，工作及领导意志","[美]谢丽尔·桑德伯格（Sheryl Sandberg）","颜筝","中信出版社","2013-6-30","39.00元","8.1"
"25798977","去你家玩好吗","","韩寒  监制","","三秦出版社","2014-1-1","29.00元","7.4"
"2973589","少年残像","","七堇年","","长江文艺出版社","2007-12","12.80","7.5"
"20549889","厨房里的哲学家","","[法] 让·安泰尔姆·布里亚-萨瓦兰","敦一夫、付丽娜","译林出版社","2013-3","32.80元","7.0"
"4585039","请继续，爱我到时光尽头","","皎皎","","时代文艺出版社","2010-3","26.80元","7.4"
"2924564","彼岸花","全彩绘本","沧月（著）、ENO（绘）","","２１世纪出版社","2008-01","25.0","7.9"
"5414391","寻路中国","从乡村到工厂的自驾之旅","[美] 彼得·海斯勒","李雪顺","上海译文出版社","2011-1","33.00元","9.0"
"1914572","誓鸟","","张悦然","","光明日报出版社","2006-11","23.00元","7.6"
"3176766","三个 A Cup 的女人","","张小娴","","北京十月文艺出版社","2008-08","25.00元","7.6"
"1451453","女大学生安妮","","[加] 露西·莫德·蒙哥玛利","周莉","浙江文艺出版社","2002-7","15.00元","9.1"
"1141406","简爱","","[英] 夏洛蒂·勃朗特","","世界图书出版公司","2003-11","18.00元","8.5"
"1456597","她的二三事","","亦舒","","新世界出版社","2005-11","18.00元","7.5"
"1461903","何以笙箫默","","顾漫","","朝华出版社","2007-4","15.00元","8.0"
"1316611","沉默。暗啞。微小。","","黃碧雲","","天地圖書","2004","H.K.$55.00","8.5"
"3858167","要有多勇敢，才能念念不忘","","目非","","中国画报出版社","2009-7","23.80元","7.2"
"20427187","看见","","柴静","","广西师范大学出版社","2013-1-1","39.80元","8.8"
"1082154","活着","","余华","","南海出版公司","1998-5","12.00元","9.1"
"1012802","十爱","","张悦然","","作家出版社","2004-7","20.00元","7.2"
"10554308","白夜行","","[日] 东野圭吾","刘姿君","南海出版公司","2013-1-1","39.50元","9.2"
"25747921","从你的全世界路过","让所有人心动的故事","张嘉佳","","湖南文艺出版社","2013-11-1","36.00元","7.2"
"1008145","围城","","钱锺书","","人民文学出版社","1991-2","19.00","8.9"
"14449069","春在绿芜中","","钟晓阳","","新星出版社","2013-1","28.00元","8.0"
"1041550","爱与痛的边缘","","郭敬明","","东方出版中心","2003-4","16.80元","6.7"
"2241214","味至浓时即家乡","","梁实秋","","陕西师范大学","2007-9","19.80元","8.7"
"2243419","空事","她注定穿梭于黑白的幻境——时代的《空事》","路佳瑄","","北方文艺","2007-9","20.00元","5.7"
"1036290","校服的裙摆","","饶雪漫","","长江文艺出版社","2005-1","20.00元","6.7"
"2226278","宗教的起源与发展","西方学术译丛","（德）麦克思·缪勒","金泽","上海人民出版社","1989.6","3.50","7.4"
"1353132","沉默。暗啞。微小。","智慧田057","黃碧雲","","臺北大田","2004-8-30","230","8.5"
"1060068","撒哈拉的故事","","三毛","","哈尔滨出版社","2003-8","15.80元","9.2"
"1064275","老人与海","","海明威","吴劳","上海译文出版社","1999-10","8.20元","8.3"
"1066462","向左走·向右走","","幾米","","生活·读书·新知三联书店","2002-8","16.00元","8.4"
"1071927","2000中国年度最佳网络文学","漓江版·年选系列丛书","'幾米'","''","'生活·读书·新知三联书店'","'2002-8'","'16.00元'","7.1"
"2250587","一个人的好天气","","[日] 青山七惠","竺家荣","上海译文出版社","2007-9","15.00元","7.6"
"1040771","达·芬奇密码","","[美] 丹·布朗","朱振武、吴晟、周元晓","上海人民出版社","2004-2","28.00元","8.2"
"1008093","苏菲的世界","","（挪威）乔斯坦·贾德","萧宝森","作家出版社","2003-01","26.80","8.5"
"3033690","24重人格","","[美] 卡梅伦·韦斯特","李永平","上海译文出版社","2008-4","28.00元","8.0"
"2244170","电光幻影","","亦舒","","新世界出版社","2007-8","18.00元","7.7"
"2979831","锦地繁花","LOMO摄影+城市小说","蒋雅楠","","宁夏人民出版社","2008年1月","23.00元","7.1"
"2977174","N.世界","","年年、郭敬明","","长江文艺出版社","2007-12","38.00","7.8"
"1013419","张爱玲全集1：长篇小说·半生缘","","张爱玲","","哈尔滨出版社","2005-6-1","19.80","8.8"
"1015403","今生今世","我的情感历程","胡兰成","","中国社会科学出版社","2003-9","23.80元","7.7"
"2377537","活着，为了什么？","","以马内利修女","华宇","深圳报业集团出版社","2008","28.00元","8.3"
"2363651","十四堂人生创意课","","李欣频","","电子工业出版社","2008-1","26.00","8.2"
"1024217","第一次的亲密接触","","蔡智恒","","知识出版社","1999-11-1","12.80","7.4"
"2339950","被窝是青春的坟墓","","七堇年","","长江文艺出版社","2007-11","22.00元","7.8"
"2323644","爷爷再次被埋葬","","XxLao墓、菜小龟","","坏有引力","2011-6-7","25.00","8.8"
"1026425","三重门","","韩寒","","作家出版社","2000-5","16.00","7.4"
"2311695","岛（Vol.09）","庞贝","郭敬明 主编","","春风文艺出版社","2007-11","20.00元","7.2"
