6796583,Talk to Me,Design and the Communication between People and Objects,Jamer Hunt (Author)、Alexandra Midal (Author)、Paola Antonelli (Author, Editor),,The Museum of Modern Art, New York,2011-7-31,USD 35.00,8.3
1437443,Maeda @ Media,Media,John Maeda,,Universe,08 September, 2001,$45.00,9.1
4223580,UI进化论,移动设备人机交互界面设计,周陟,,清华大学出版社,2010-1,88.00元,6.1
1844685,交互式系统原理与设计,,奥沙利文,,第1版 (2006年7月1日),2006-7,45.0,8.3
3710133,Programming Interactivity,A Designer's Guide to Processing, Arduino, and Openframeworks,Joshua Noble,,O'Reilly Media,2009-7-28,USD 49.99,8.3
1159662,顾客体验管理,,贝恩特·施密特,冯玲,机械工业出版社,2004-5,20.00元,8.1
1793267,Understanding Your Users,A Practical Guide to User Requirements Methods, Tools, and Techniques (The Morgan Kaufmann Serie,Catherine Courage、Kathy Baxter,,Morgan Kaufmann,2004-12-28,USD 59.95,8.1
10427877,信息可视化,,（英） Robert Spence,陈雅茜,机械工业出版社,2012-1,59.00元,6.9
3257711,Getting Started with Arduino,,Massimo Banzi,,Make Books,October 23, 2008,$12.99,7.1
1463950,User Interface Design for Programmers,,Avram Joel Spolsky,,Apress,2006-1-23,USD 29.95,8.3
19961110,自然用户界面设计,NUI的经验教训与设计原则,[加] Daniel Wigdor、[美] Dennis Wixon,季　罡,人民邮电出版社,2012-11-3,49.00元,6.6
6726962,Gamification by Design,Implementing Game Mechanics in Web and Mobile Apps,Gabe Zichermann、Christopher Cunningham,,O'Reilly Media,2011-8-19,USD 24.99,7.3
1237890,用户界面设计,有效的人机交互策略(第三版),施奈德曼 (ShneidermanBen),张国印,电子工业出版社,2004年1月1日,38.0,6.8
4881989,交互设计指南,,Dan Saffer,陈军亮、陈媛嫄、李敏,机械工业出版社,2010年7月,33.00元,7.6
1737363,数字图形界面艺术设计,,鲁晓波,,清华大学出版社,2006-2,38.00元,7.4
25928776,好设计不简单Ⅱ,UI设计师必须了解的那些事,［日］ 古贺直树,张君艳,人民邮电出版社,2014-8,39.00元,6.5
25773225,用户体验百家谈,,［日］ 古贺直树,张君艳,人民邮电出版社,2014-8,39.00元,6.2
26289061,Processing互动编程,,［日］ 古贺直树,张君艳,人民邮电出版社,2014-8,39.00元,7.5
25866560,众妙之门,移动交互体验设计,德国Smashing杂志,,人民邮电出版社,2014-2-1,CNY 49.00,7.0
5960812,A Touch of Code,Interactive Installations and Experiences,R. Klanten、S. Ehmann、V. Hanschke、Preface by Joachim Sauter,,Gestalten,2011-4,€44,00 | $68,00 | £40,00,9.0
24858505,易用为王,改进产品设计的10个策略,[美] Eric Reiss,李会丹、张　杰,人民邮电出版社,2013-8,59.00,7.2
4101914,Interactive Architecture,,Michael Fox、Miles Kemp,,Princeton Architectural Press,20090901,$50.00 £30.00,8.4
1916758,Beautiful Evidence,,Edward R. Tufte,,Graphics Press,2006-07,USD 52.00,8.9
26378009,交互品质,脱离鼠标键盘的情境设计,Edward R. Tufte,,Graphics Press,2006-07,USD 52.00,7.3
1478928,Designing Visual Interfaces,Communication Oriented Techniques,Kevin Mullet、Darrell Sano,,Prentice Hall,1994-12-15,USD 84.99,7.9
1690890,GUI Bloopers,Don'ts and Do's for Software Developers and Web Designers (Interactive Technologies),Jeff Johnson,,Morgan Kaufmann,2000-03-31,USD 63.95,8.3
1241266,软件开发的创新思维,,库伯,刘瑞挺,电子工业出版社,2003-1,30.0,8.2
6780956,ART+COM,Media Spaces and Installations,ART+COM,,Die Gestalten Verlag,2011-9,€39,90 | $60,00 | £37,50,8.1
2115239,人机交互,以用户为中心的设计和评估,董建明,,第2版 (2007年5月1日),2007-5,29.0,6.9
3083692,做最创意的节目,对话英国权威电视制片人,崔莹,,南方日报出版社,2008-5,38.00元,7.5
3742366,胜于言传,网站内容制胜宝典,[英] 瑞蒂希 (Redish.J.),,王冬妮,2009-5,65.00元,8.2
1314262,情感化设计,,[美] Donald A.Norman；,付秋芳、程进三,电子工业出版社,2005-5,36.00元,8.0
2298856,一目了然,Web软件显性设计之路,ROBERT HOEKMAN,何潇,机械工业出版社,2008-1,39.00元,7.7
4909176,社交网站界面设计,,Christian Crumlish、Erin Malone,樊旺斌、师蓉,机械工业出版社,2010-9-1,69.00元,7.7
1946247,Designing for Small Screens Studio,Mobile Phones, Smart Phones, PDAs, Pocket PCs, Navigation Systems, MP3 Players, Games Consoles (,Carola Zwick、Burkhard Schmitz、Studio 7.5,,Ava Publishing,2006-04,USD 29.95,7.9
2998873,体验与挑战产品交互设计,设计前沿课堂系列丛书,李世国,,江苏美术出版社,2008-1,40.00元,7.1
4886100,Web表单设计,点石成金的艺术,[美] Luke Wroblewski,卢颐、高韵蓓,清华大学出版社,2010-6,49.00元,8.5
6701607,See Yourself Sensing,Redefining Human Perception,Schwartzman, Madeline,,Black Dog Publishing,2011-6-24,24.95 GBP,8.0
3665205,应需而变,为瞬息万变的世界提供伟大的产品和服务,Peter Merholz、Brandon Schauer、David Verba、Todd Wilkens,吴隽辰,机械工业出版社,2009,29.00元,7.6
3886044,瞬间之美,Web界面设计如何让用户心动,[美] Robert Hoekman, Jr.,向怡宁,人民邮电出版社,2009-7,45.00元,8.0
3238350,Designing Gestural Interfaces,Touchscreens and Interactive Devices,Dan Saffer,,O'Reilly Media,2008-12-3,USD 49.99,7.2
5271603,卡片分类,可用类别设计,[澳] 唐纳·斯宾塞(Donna Spencer),周靖、文开琪,清华大学出版社,2010-9,39.00元,7.1
5449262,互動設計,跨越人-電腦互動,Jennifer Preece、Yvonne Rogers、Helen Sharp,陳建雄,John Wiley & Sons, Inc.,2006-10,700元,7.7
4037608,交互设计概论,,李四达,,清华大学出版社,2009-9,35.00元,6.8
5394309,简约至上,交互式设计四策略,[英] Giles Colborne,李松峰、秦绪文,人民邮电出版社,2011-1-1,35.00,8.4
3268813,digital by design,,Freyer, Conny,Noel, Sebastien (CON),Rucki, Eva (CON),2009-2,510.00元,8.4
4817741,别具光芒,,Freyer, Conny,Noel, Sebastien (CON),Rucki, Eva (CON),2009-2,510.00元,8.0
1895451,实验室.庙宇.市场-对科学.宗教和发展的交互作用的反思,对科学、宗教和发展的交互作用的反思,沙伦·M.P.哈珀 编,张继涛    等译、江文华    审订,广东人民出版社,2006-3,20.00元,7.4
6875294,Making Things See,3D vision with Kinect, Processing, Arduino, and MakerBot,Greg Borenstein,,Make,2012-2-3,USD 39.99,7.3
2286445,The Fundamentals of Sonic art & Sound design,,Tony Gibbs,,AVA Publishing,2007-07-01,USD 35.00,7.2
1827702,点石成金,访客至上的网页设计秘笈,[美] 史蒂夫·克鲁克,De Dream',机械工业出版社,2006-8,39.00元,8.5
6517501,Processing互动编程艺术,,谭亮,,电子工业出版社,2011-6,39.00元,7.1
3639503,细节决定交互设计的成败,,[美] Joshua Noble,毛顺兵、张婷婷,机械工业出版社,2014-7-1,129.00元,7.2
2258487,4dsocial,Interactive Design Environments,Bullivant、Lucy,,John Wiley & Sons Inc,2007-7,334.00元,7.9
24325849,Axure RP 6原型设计精髓,,Ezra Schwartz,七印部落,华中科技大学出版社,2013-5,88.00元,7.8
2297549,用户体验的要素,以用户为中心的Web设计,Jesse James Garrett,范晓燕,机械工业出版社,2007年10月,25.00,8.2
10435874,交互设计,交互设计,李世国、顾振宇,,中国水利水电出版社,2012-1,52.00元,7.1
1967469,User-Centered Web Design,,John Cato,,Addison Wesley Longman,2001,$39.99,7.5
1087502,Web可用性设计,,JakobNielsen,潇湘工作室,人民邮电出版社,2000-11-01,68.0,7.8
10540744,怦然心动,情感化交互设计指南,JakobNielsen,潇湘工作室,人民邮电出版社,2000-11-01,68.0,8.0
1809242,Flash动画网站设计全程实录,,金允基,,第1版 (2006年5月1日),2006-5,55.0,7.7
4915771,Interactive Data Visualization: Foundations, Techniques, and Applications,,Matthew Ward、Georges Grinstein、Daniel Keim,,A K Peters Ltd,July 1, 2010,$89,7.7
1872483,Mobile Interaction Design,,Matt Jones、Gary Marsden,,John Wiley & Sons,2006-02-10,USD 60.00,8.1
23708491,设计师要懂心理学,,[美] Susan Weinschenk,徐佳、马迪、余盈亿,人民邮电出版社,2013-5-1,49.00元,7.8
1288844,设计心理学,,Donald Norman,梅琼,中信出版社,2003-10-1,23.00,8.2
11608826,交互设计,,黄琦、毕志卫,,浙江大学出版社,2012-7,45.00元,6.6
20505765,精益创业实战,,Ash Maurya,张玳,图灵文化发展有限公司,2013-1,39.00元,8.8
6750510,设计心理学2,如何管理复杂,[美] 唐纳德·A·诺曼,张磊,中信出版社,2011-8-1,38.00元,7.9
3182082,身體評估之OSCE臨床能力鑑定,,蔡秀鸞 總校閱、王采芷、黃秀麗、楊瑞珍、張靜芬、陳妙言、童□新、周成蕙、簡翠薇、曹麗英、李明德、陳莉莉、陳玉貞 著,,台灣愛思唯爾,2009-11-20,NT$500,8.4
1737592,Web设计禁忌,,Jeff Johnson,张颖,机械工业出版社,2006-2,38.00元,7.0
3313897,Web导航设计,,James Kalbach,李曦琳,电子工业出版社,2009 年3月,69.80元,8.1
4926708,网站设计解构,有效的交互设计框架和模式,[美] Robert Hoekman,Jr.、[美] Jared Spool,向怡宁,人民邮电出版社,2010-09,59.00元,7.3
1937913,无懈可击的Web设计,利用XHTML和CSS提高网站的灵活性与适应性,Dan Cederholm,常可、刘申,清华大学出版社,2006,49.80元,8.1
1793267,Understanding Your Users,A Practical Guide to User Requirements Methods, Tools, and Techniques (The Morgan Kaufmann Serie,Catherine Courage、Kathy Baxter,,Morgan Kaufmann,2004-12-28,USD 59.95,8.1
1809242,Flash动画网站设计全程实录,,金允基,,第1版 (2006年5月1日),2006-5,55.0,7.7
1690890,GUI Bloopers,Don'ts and Do's for Software Developers and Web Designers (Interactive Technologies),Jeff Johnson,,Morgan Kaufmann,2000-03-31,USD 63.95,8.3
10435874,交互设计,交互设计,李世国、顾振宇,,中国水利水电出版社,2012-1,52.00元,7.1
10828002,游戏改变世界,游戏化如何让现实变得更美好,[美] 简•麦戈尼格尔（Jane McGonigal）,闾佳,浙江人民出版社,2012-9,59.90元,8.1
1087502,Web可用性设计,,JakobNielsen,潇湘工作室,人民邮电出版社,2000-11-01,68.0,7.8
25817190,设计之下,搜狐新闻客户端的用户体验设计,搜狐新闻客户端UED团队,,电子工业出版社,2014-1-1,CNY 69.00,7.6
1230451,网站重构,应用Web标准进行设计,[美] Jeffrey Zeldman,傅捷、王宗义、祝军,电子工业出版社,2005-4,38.00元,7.9
3639503,细节决定交互设计的成败,,[美] Jeffrey Zeldman,傅捷、王宗义、祝军,电子工业出版社,2005-4,38.00元,7.2
4076216,锦绣蓝图,怎样规划令人流连忘返的网站(第2版),[美] 沃德科 (Christina Wodtke)、[美] 戈夫拉 (Austin Govella),蔡芳,人民邮电出版社,2009-11-01,59.00,8.0
10540744,怦然心动,情感化交互设计指南,[美] 沃德科 (Christina Wodtke)、[美] 戈夫拉 (Austin Govella),蔡芳,人民邮电出版社,2009-11-01,59.00,8.0
1012611,乌合之众,大众心理研究,(法)古斯塔夫.勒庞,冯克利,中央编译出版社,1998-01,16.00元,8.3
1478928,Designing Visual Interfaces,Communication Oriented Techniques,Kevin Mullet、Darrell Sano,,Prentice Hall,1994-12-15,USD 84.99,7.9
1485731,原动画基础教程,动画人的生存手册,理查德·威廉姆斯,邓晓娥,中国青年出版社,2006-1,128.00元,9.6
3223711,怪诞行为学,,[美] 丹·艾瑞里,赵德亮、夏蓓洁,中信出版社,2008-10,39.00,8.1
6875294,Making Things See,3D vision with Kinect, Processing, Arduino, and MakerBot,Greg Borenstein,,Make,2012-2-3,USD 39.99,7.3
3182082,身體評估之OSCE臨床能力鑑定,,蔡秀鸞 總校閱、王采芷、黃秀麗、楊瑞珍、張靜芬、陳妙言、童□新、周成蕙、簡翠薇、曹麗英、李明德、陳莉莉、陳玉貞 著,,台灣愛思唯爾,2009-11-20,NT$500,8.4
2258487,4dsocial,Interactive Design Environments,Bullivant、Lucy,,John Wiley & Sons Inc,2007-7,334.00元,7.9
4926708,网站设计解构,有效的交互设计框架和模式,[美] Robert Hoekman,Jr.、[美] Jared Spool,向怡宁,人民邮电出版社,2010-09,59.00元,7.3
1967469,User-Centered Web Design,,John Cato,,Addison Wesley Longman,2001,$39.99,7.5
20381558,移动应用UI设计模式,,[美] Theresa Neil、Theresa Neil,王军锋、郭偎、武艳芳,人民邮电出版社,2013-1-1,49.00元,7.2
25942507,参与感,小米口碑营销内部手册,黎万强,,中信出版社,2014-8,56.00元,7.5
6024020,关键设计报告,改变过去影响未来的交互设计法则,[美] 比尔·莫格里奇,许玉铃,中信出版社,2011-6,218.00元,8.4
