"26879195","食帖12：厨房，治愈人生的避难所","","'[美] 茱莉亚·查尔德、[美]亚历克斯·普鲁多姆'","'苏西'","'重庆出版社'","'2010-11-01'","'26.80'","8.4"
"1415311","美食家","","陆文夫","","古吴轩出版社","2005-6-1","28.0","8.1"
"6967496","不去吃会死","一头胖子的美食之旅","许崧","","人民文学出版社","2011-12","25.00元","8.2"
"26369001","一起来吃早午餐","睡到自然醒，乐活族的早午餐提案","Pan小月","","中国轻工业出版社","2015-5-1","38.00元","8.2"
"6826615","台北小吃札记","","舒国治","","广西师范大学出版社","2011-9-1","36.00元","7.8"
"10481061","小'食'光","101份咖啡馆人气餐点，家中的悠闲小食时光","lacuisine","边铀铀","河南科学技术出版社","2012-1","38.00元","7.8"
"26609131","簡單‧豐盛‧美好","祖宜的中西家常菜","庄祖宜","","新经典文化","2015-7-1","NT420","8.9"
"1057601","半饱","生活高潮之所在","欧阳应霁","","生活·读书·新知三联书店","2004-12","34.80元","7.8"
"1223612","唐鲁孙谈吃","","唐鲁孙","","广西师范大学出版社","2005年","228.0","8.5"
"1674916","专业烹饪","","韦恩·吉斯伦","","大连理工大学出版社","2005-6","128.00元","9.1"
"11627774","贪食纪","","殳俏、龙荻（插图）","","生活·读书·新知三联书店","2012-8","35.00元","8.2"
"26862352","莫扎特，请入席","","米歇尔·波尔图，娜塔莉·克拉夫特 著，埃尔维·勒菲弗尔 摄","田晶","百花文艺出版社","2016-10-1","CNY 39.50","8.8"
"3535331","食经","","陈梦因","","百花文艺出版社","2009-1","78.00元","8.7"
"4692016","西式糕点制作大全","","川上文代","书锦緣","辽宁科学技术出版社","2010-4","48.00元","9.1"
"4156058","Mastering the Art of French Cooking","Volumes 1 and 2","Julia Child、Louisette Bertholle、Simone Beck","","Knopf","2009-12","GBP 54.59","9.4"
"25807523","唯爱与美食不可辜负","","山亭夜宴","","现代出版社","2014-2","32.80","7.3"
"25857506","菜单中的秘密","爱丽舍宫的飨宴","[日] 西川惠","","生活·读书·新知三联书店","2014-2","29.00","8.0"
"26911258","食帖13：腐的品格!初心者的发酵料理书","","林江 主编","","中信出版集团","2016-11","49.00元","8.1"
"23116260","其实，大家都想做菜","","庄祖宜","","生活·读书·新知三联书店","2013-3","39.00元","8.2"
"2996680","蔡澜食材字典","","蔡澜","","山东画报出版社","2008-2","28.00元","7.8"
"2974903","香港味道2","街头巷尾民间滋味","欧阳应霁","","生活·读书·新知三联书店","2008-1","39.80元","8.1"
"25776456","老味道","","汪曾祺","","中国青年出版社","2013-10-1","CNY 32.00","8.7"
"26281415","早餐礼赞","","[日]饭岛奈美、飯島奈美","吴绣绣","北京时代华文书局","2015-2-5","34.80","7.5"
"5914556","台湾味道","","焦桐","","生活·读书·新知三联书店","2011-1","32.00元","7.6"
"25852665","孤独的人都要吃饱","","张佳玮","","中国华侨出版社","2014-4","32.80元","7.6"
"3410797","吃，吃的笑","","殳俏","","生活·读书·新知三联书店","2009-1","28.00","7.8"
"4011282","京味儿","","崔岱远","","生活·读书·新知三联书店","2009-12","18.00元","8.2"
"4705912","意大利餐制作大全","","川上文代","书锦緣","辽宁科技","2010-4","48.00元","8.9"
"26765379","爱上铸铁锅","","[日]药袋绢子","刘仝乐","北京联合出版公司·后浪出版公司","2016-5","36.00元","8.0"
"26711352","面包制作的科学","","[日]吉野精一","肖潇","北京联合出版公司·后浪出版公司","2016-3","32.00元","8.1"
"5914555","暴食江湖","","焦桐","","生活·读书·新知三联书店","2010-12","22.00元","8.0"
"5954632","寿司品鉴大全","","[日] 小野二郎","赵怡凡","辽宁科学技术出版社","2011-3","49.80元","8.4"
"1916929","梁实秋谈吃","","梁实秋","","中国纺织出版社","2006年10月","19.80","8.6"
"26411821","无印良品的人气菜肴","","中村新","曹逸冰、吉井忍","中信出版社","2015-5-1","CNY 39.80","7.8"
"26602109","吃饱了才有力气谈恋爱","","蔡要要不吃药","","北京联合出版公司","2015-9-30","32.80元","7.4"
"26769704","早安，早餐","喂饱了肚子，一天都不会太糟。","蒋三寻","","山西科学技术出版社","2016-5-1","42.00","7.9"
"25828868","快活馋","","高军、徐路","","浙江文艺出版社","2014-3-1","32.80元","7.5"
"26843917","和食十品","","[日]髙桥拓儿","苏暐婷","新星出版社","2016-8","45.00元","8.8"
"26734610","中国食谱","","杨步伟","","九州出版社","2016-2-1","CNY 52.00","9.1"
"11507833","深夜食堂料理特輯","","dancyu編輯部、Big comics original編輯部、安倍夜郎","丁世佳","新經典文化","2012-8","NT$220","8.4"
"26812868","吃的美德","餐桌上的哲学思考","朱利安·巴吉尼 (Julian Baggini)","闾佳","北京联合出版公司","2016-6-1","CNY 56.90","8.1"
"5502946","元气糖","","殳俏","","江苏文艺出版社","2011-1","35.00元","7.5"
"26276634","無印良品的四季食谱","","[日] 无印良品","袁璟、林叶","广西师范大学出版社","2014-12","48.00","7.4"
"26265818","电影食堂","","[日]饭岛奈美、飯島奈美","吴绣绣","北京时代华文书局","2015-2-5","34.80","7.3"
"24704589","跟着小嶋做烘焙","","小嶋流美","王丹丹","南海出版公司","2013-7-1","CNY 36.00","8.4"
"10830940","法式西餐制作大全","","川上文代 (Fumiyo Kawakami)","马金娥","辽宁科学技术出版社","2012-9","48.00元","9.0"
"26784339","胖子之城","","殳俏","重庆大学出版社","楚尘文化","2016-5","42.00元","7.7"
"3071714","饮膳札记","女教授的19道私房佳肴","林文月","","广西师范大学出版社","2008-5","22.00元","7.9"
"25827271","吃早餐，彻底改变了我","","Hana、卤猫","","中国华侨出版社","2014-3-1","36","7.4"
"1064014","中国吃","","唐鲁孙","","广西师范大学出版社","2004-11","19.00元","8.3"
"5972443","白话随园食单","","白常继","","中国商业出版社","2011-1","38.00元","8.0"
"6397533","水果猎人","","[加拿大] 亚当·李斯·格尔纳","于是","生活·读书·新知三联书店","2011-11","32.00元","8.2"
"26932848","食帖14：小聚会教科书","","林江","","中信出版集团股份有限公司","2016-12-1","49.00","7.7"
"26827556","食帖10:早餐，真的太重要了","","林江  主编","","中信出版社","2016-7","42.00元","7.8"
"5423779","食桌情景","","[日] 池波正太郎","廖卿惠","生活·读书·新知三联书店","2011-4","25.00元","7.9"
"3187449","细说川菜","","胡廉泉、罗成章","","四川科学技术出版社","2008-6","22.00元","8.8"
"20272103","旧时光的味道","在食物中，重温往昔的美好","许亿","","长江文艺出版社","2013-4-1","29.80元","7.3"
"26789266","你不懂面包","有料、有趣、还有范儿的面包百科知识","日本面包推广协会","郭清华","江苏凤凰文艺出版社","2016-8","39.80","8.7"
"6265143","最详尽的面包制作教科书","","（日）坂本利佳","邓楚泓","辽宁科学技术出版社","2011-5","48.00元","8.9"
"26803921","味言道（精装水墨版）","写尽天下美食，写尽人间世情","车前子","","北京大学出版社","2016-6","45.00元","7.8"
"26411825","无印良品的花样土锅料理","","[日] 渡边有子","李彩虹、吉井忍","中信出版社","2015-5-31","39.80","8.0"
"26665581","料理全书","NHK超人气料理节目，日本国民奶奶写给厨房初学者的料理教科书，900张实","高木初江","石秀梅","北京联合出版公司","2016-1","55","8.7"
"10480691","蓝带甜点师的纯手工果酱","","于美瑞","","河南科学技术出版社","2011-2-10","29.00元","8.2"
"1457211","吃主儿","","王敦煌","","生活·读书·新知三联书店","2005-12","15.00元","7.8"
"1484084","大众川菜","","刘建成、胡廉泉、舒孝钧、杨镜吾","","四川科学技术出版社","1984-1","1.21元","9.3"
"3102649","恶魔花园","禁忌食物的故事","（美）斯图尔德·李·艾伦（Stewart Lee Allen）","陈小慰、朱天文、叶长缨","新星出版社","2008-07","32.00元","7.9"
"20499702","味道·第一宗罪","","梁文道","","广西师范大学出版社 群言出版社","2013-1","26.00元","7.7"
"1563556","日本蛋糕名店的私藏秘方","","永瀨正人","榮淑樁","笛藤出版","2003-07-10","NT160","8.2"
"26780654","美味岁时记","","'永瀨正人'","'榮淑樁'","'笛藤出版'","'2003-07-10'","'NT160'","8.8"
"25767395","神的拉面","","[日] 多纪光","赵嵩珏","新星出版社","2014-1","30.00","6.9"
"1460123","寒夜客来","中国饮食文化散记之二","逯耀东","","生活.读书.新知三联书店","2005-12","18.00元","8.0"
