10555435,七周七语言,理解多种编程范型,Bruce A.Tate,巨成、戴玮、白明,人民邮电出版社,2012-5-8,59.00元,8.1
6433169,Linux内核设计的艺术,图解Linux操作系统架构设计与实现原理,新设计团队,,机械工业出版社华章公司,2011-6-20,79.00元,6.8
2130190,Java编程思想 （第4版）,,[美] Bruce Eckel,陈昊鹏,机械工业出版社,2007-6,108.00元,9.1
4164024,高效程序员的45个习惯,敏捷开发修炼之道,Venkat Subramaniam、Andy Hunt,钱安川、郑柯,人民邮电出版社,2010-01,35.00元,8.1
3892178,司法的过程,美国、英国和法国法院评介,(美)亨利·J.亚伯拉罕,泮伟江 宦盛奎 韩阳,北京大学出版社,2009-07-28,58.00元,7.3
1140457,敏捷软件开发,原则、模式与实践,Robert C. Martin,邓辉,清华大学出版社,2003-09-01,59.00元,9.1
3227098,编程珠玑,第2版,Jon Bentley,黄倩、钱丽艳,人民邮电出版社,2008-10,39.00元,9.2
3884108,可爱的Python,,哲思社区,,电子工业出版社,2009-9,55.00元,7.4
1797513,Programming Python,3rd edition,Mark Lutz,,O'Reilly Media,2006-8-30,USD 59.99,8.0
1231910,具体数学（英文版第2版）,计算机科学基础,[美] Ronald L. Graham、Donald E. Knuth、Oren Patashnik,,机械工业出版社,2002-8,49.00元,9.5
4866934,Python基础教程,,Magnus Lie Hetland,司维、曾军崴、谭颖华,人民邮电出版社,2010年7月,69.00元,7.9
2054931,Effective C# 中文版,改善C#程序的50种方法,Bill Wagner,李建忠,人民邮电出版社,2007-5,49.00元,8.3
4924419,C语言深度解剖,,Bill Wagner,李建忠,人民邮电出版社,2007-5,49.00元,7.6
6392055,iOS软件开发揭密,iPhone & iPad企业应用和游戏开发,虞斌,,电子工业出版社,2011-5-1,79.00元,6.6
3354137,彩色UML建模,,Peter Coad、Eric Lefebvre、Jeff De Luca,,王海鹏,2008-12,55.00元,7.6
1229923,重构,改善既有代码的设计,Martin Fowler,,中国电力出版社,2003-8-1,68.00元,9.0
26201913,Swift语言实战入门,Swift从入门到精通,伍星、罗飞、刘志华、王浩力、刘蕾,,人民邮电出版社,2014-10-23,79,6.7
1139426,数据结构与算法分析,C语言描述,Mark Allen Weiss (维斯),冯舜玺,机械工业出版社,2004-1-1,35.00元,8.9
25854719,程序员的数学思维修炼（趣味解读）,,周颖,,清华大学出版社,2014-4-1,45.00元,5.4
1126084,软件测试,,乔根森,韩柯,机械工业出版社,2003-12-1,35.00元,6.9
2367867,ActionScript 3.0 Cookbook中文版,,Joey Lott、Adobe Dev Library,陈建勋,电子工业,2007-11-01,78.00元,8.1
1885170,算法导论（原书第2版）,,[美] Thomas H.Cormen、Charles E.Leiserson、Ronald L.Rivest、Clifford Stein,潘金贵 等,机械工业出版社,2006-9,85.00元,9.4
1472607,Ajax基础教程,,（美）阿斯利森、（美）舒塔、金灵,金灵,人民邮电出版社,2006-02-01,35.00元,7.2
3288908,集体智慧编程,,TOBY SEGARAN,莫映、王开福,电子工业出版社,2009-1,59.80元,9.0
1911882,轻快的Java,,TOBY SEGARAN,莫映、王开福,电子工业出版社,2009-1,59.80元,7.4
1897846,正当法律程序简史,,(美)约翰·V.奥尔特,杨明成、陈霜玲,商务印书馆,2006-8,14.00元,7.4
6516576,Java语言精粹,,Jim Waldo,王江平,电子工业出版社,2011-6,39.00元,7.5
1911557,Head First EJB（中文版）,,KathySierra，Ber,,中国电力出版社,2006-9,79.00元,7.9
1972754,Beginning Java Objects中文版从概念到代码,,巴克,万波,人民邮电出版社,2007-1,78.00元,8.5
2281373,软件预构艺术（中文版）,,Ken Pugh,O'Reilly Taiwan公司,东南大学,2010-6,26.00元,7.6
6021440,黑客与画家,硅谷创业之父Paul Graham文集,[美] Paul Graham,阮一峰,人民邮电出版社,2011-4,49.00元,8.8
1792276,JAVA语言规范(英文版,第3版),,戈斯林,,机械工业,2006-4,79.00元,7.8
1195791,法学名篇小文丛,,[美] 格兰特·吉尔莫,曹士兵、姚建宗、吴巍,中国法制出版社,2005-1,10.0,8.9
3062105,iBATIS实战,,(加)Clinton Begin、(加)Brandon Goodin、(加)Larry Meadors,叶俊,人民邮电出版社,2008-5,45.00元,7.3
4833653,Ruby语言入门,,Yugui,丁明、吕嘉,东南大学出版社,2010 年4月,32.00元,6.7
3565840,Apache Tomcat 6高级编程,Professional Apache Tomcat 6,Vivek Chopra、Sing Li、Jeff Genender,,人民邮电出版社,2009-3,79.00元,7.1
21622482,Python语言程序设计,（英文版）,（美）Y. Daniel Liang,,机械工业出版社,2013-3,79.00元,7.4
2254254,金融计算与建模,,朱世武,,清华大学,2007-8,40.00元,7.3
1967180,C++编程风格,,卡吉尔,聂雪军,机械工业出版社发行室,2007-1,25.00元,7.6
2858461,Google API开发详解,GOOGLE MAPS与GOOGLE EARTH双剑合璧,江宽，龚小鹏等编,,电子工业,2008-1,59.80元,7.0
3349773,UML风格,,布格勒,,袁峰,2008-12,35.00元,7.7
2054896,Big C++中文版,,霍斯特曼,姚爱红,电子工业,2007-3,85.00元,7.9
1950173,电脑报（上下册）,,电脑报社,,西南师范大学出版社,2006-12-01,45.00元,7.7
5922756,程序员2010精华本,,程序员杂志社,,电子工业,2011-1,49.00元,6.9
1879443,ASP.NET 2.0入门经典,,哈特,,清华大学出版社,2006-8,78.00元,7.2
1835397,征服Ajax Web 2.0快速入门与项目实践,,张桂元,,人民邮电,2006-6,36.00元,6.4
1420424,Series 60 应用程序开发,,巴克,,人民邮电出版社,2005-7,75.0,7.1
1312929,精通Spring,,罗时飞,,第1版 (2005年4月1日),2005-4,39.0,6.4
3884108,可爱的Python,,哲思社区,,电子工业出版社,2009-9,55.00元,7.4
4866934,Python基础教程,,Magnus Lie Hetland,司维、曾军崴、谭颖华,人民邮电出版社,2010年7月,69.00元,7.9
1232061,JAVASCRIPT权威指南(第四版),,David Flanagan,张铭泽、等,机械工业出版社,2003-1-1,99.00,8.7
1229923,重构,改善既有代码的设计,Martin Fowler,,中国电力出版社,2003-8-1,68.00元,9.0
2130190,Java编程思想 （第4版）,,[美] Bruce Eckel,陈昊鹏,机械工业出版社,2007-6,108.00元,9.1
1140457,敏捷软件开发,原则、模式与实践,Robert C. Martin,邓辉,清华大学出版社,2003-09-01,59.00元,9.1
1797513,Programming Python,3rd edition,Mark Lutz,,O'Reilly Media,2006-8-30,USD 59.99,8.0
4833653,Ruby语言入门,,Yugui,丁明、吕嘉,东南大学出版社,2010 年4月,32.00元,6.7
1195791,法学名篇小文丛,,[美] 格兰特·吉尔莫,曹士兵、姚建宗、吴巍,中国法制出版社,2005-1,10.0,8.9
11530329,30天自制操作系统,,[日] 川合秀实,周自恒、李黎明、曾祥江、张文旭,人民邮电出版社,2012-8,99.00元,8.3
1126084,软件测试,,乔根森,韩柯,机械工业出版社,2003-12-1,35.00元,6.9
1231298,程序设计语言,实践之路,斯科特,裘宗燕,电子工业出版社,2005-1,88.00元,8.6
1152912,算法导论,,[美] Thomas H. Cormen、Charles E. Leiserson、Ronald L. Rivest、Clifford Stein,,高等教育出版社,2002-5,68.00元,9.5
1173548,程序设计实践,,[美] Brian W. Kernighan、Rob Pike,裘宗燕,机械工业出版社,2000-8,20.00元,9.0
1174976,UML风格,,安布勒,,清华大学出版社,2004-7,18.00元,8.0
1760738,编程卓越之道,第一卷：深入理解计算机,Hyde R,韩东海,电子工业出版社,2006-4-1,49.80,8.3
1757853,Beginning JavaScript with DOM Scripting and Ajax,From Novice to Professional (Beginning: from Novice to Professional),Christian Heilmann,,Apress,2006-07-14,USD 39.99,7.7
1754490,UML精粹:标准对象建模语言简明指南(第3版)(英文影印版),标准对象建模语言简明指南,福勒,,清华大学出版社,2006年3月1日,26.00元,8.9
1087528,C++程序调试实用手册,,佩措尔德,章立民,华中科技,2004-1,118.00元,6.6
1088054,TCP/IP详解 卷1：协议,,W.Richard Stevens,范建华,机械工业出版社,2000-4-1,45.00元,9.2
1151672,代码阅读方法与实践,,斯平内利斯,赵学良,清华大学出版社,2004-03-01,45.00元,6.9
1110934,STL源码剖析,,侯捷,,华中科技大学出版社,2002-6,68.00元,8.7
1241039,Fortran95程序设计,,彭国伦,,中国电力出版社,2002-9,59.00元,8.7
1241361,学习bash,Learning the bash Shell, Second Edition,Cameron Newham、Bill Rosenblatt,徐炎、查石祥,机械工业出版社,2003-1-1,45.00,7.5
1243974,C++面向对象程序设计,基础、数据结构与编程思想,萨维奇 (Walter Savitch),周靖,清华大学出版社,2003-12,59.0,7.2
1119944,Web协议与实践,HTTP1.1、网络协议、缓存技术和流量测量,克里希纳穆尔蒂 (KrishnamurthyBalachander),范群波,科学出版社,2003-7,46.0,8.0
1283244,ACM图灵奖演讲集,前20年,阿申豪斯特,苏运霖,电子工业出版社,2005-4,55.0,7.8
1289136,C语言的科学和艺术,,罗伯茨,翁惠玉,机械工业出版社,2005-3,55.00元,8.5
1291204,哥德尔、艾舍尔、巴赫,集异璧之大成,[美] 侯世达,严勇、刘皓明、莫大伟,商务印书馆,1997-5,88.00元,9.4
1108725,人件,,Tom DeMarco、Timothy Lister,UML China,清华大学出版社,2003-6,35.00元,8.2
1239416,Visual C++/Turbo C串口通信编程实践,,熊光明,,电子工业出版社,2004-10,55.0,7.5
1151348,.NET本质论 第1卷:公共语言运行库,,博克斯 (BoxDon),张晓坤,中国电力出版社,2004-1,48.00元,9.0
1149480,C++数据结构与程序设计,,克鲁斯,钱丽萍,清华大学出版社,2004-1,59.00元,7.9
1231822,莱昂氏UNIX源代码分析,,(澳)John Lions,尤晋元,机械工业出版社,2000-7-1,49.00,8.8
1231933,计算机程序设计艺术（第1卷）,基本算法,[美] 唐纳德·E. 克努特,苏运霖,国防工业出版社,2002-9,98.00元,9.5
1171448,现代体系结构的优化编译器,,[美] Randy Allen，（,,机械工业出版社,2004-1,69.00元,7.8
1232017,面向模式的软件体系结构(卷1) (平装),,Frank Buschmann、Regine meunier、Hans Rohnert、Peter Sommerlad、Michael Stal,贲可荣、郭福亮,机械工业出版社,2003-1,45.0,7.7
